number,value,datetime_start,datetime_complete,duration,params_l2_regularization,params_learning_rate,params_max_depth,params_max_iter,params_min_samples_leaf,state,alpha
10,0.008113882936397256,2024-10-26 15:30:38.544134,2024-10-26 15:30:38.639106,0 days 00:00:00.094972,0.572588460689787,0.054707696912440845,8,354,12,COMPLETE,0.2
11,0.008113882936397256,2024-10-26 15:30:38.639258,2024-10-26 15:30:38.740629,0 days 00:00:00.101371,0.34283218220981737,0.024143522562914764,19,444,12,COMPLETE,0.2
12,0.008113882936397256,2024-10-26 15:30:38.740781,2024-10-26 15:30:38.838222,0 days 00:00:00.097441,0.023462633429781818,0.023019850059321216,14,751,38,COMPLETE,0.2
13,0.008113882936397256,2024-10-26 15:30:38.838398,2024-10-26 15:30:38.939804,0 days 00:00:00.101406,0.39702972637348105,0.019633888375972255,20,555,12,COMPLETE,0.2
14,0.008113882936397256,2024-10-26 15:30:38.940012,2024-10-26 15:30:39.036295,0 days 00:00:00.096283,0.6810398645023227,0.041675363957546625,9,833,9,COMPLETE,0.2
15,0.008113882936397256,2024-10-26 15:30:39.036450,2024-10-26 15:30:39.133496,0 days 00:00:00.097046,0.4033657046534734,0.018850023831448844,14,541,2,COMPLETE,0.2
16,0.008113882936397256,2024-10-26 15:30:39.133820,2024-10-26 15:30:39.233297,0 days 00:00:00.099477,0.7080264715481219,0.05304893609286478,16,361,16,COMPLETE,0.2
17,0.008113882936397256,2024-10-26 15:30:39.233460,2024-10-26 15:30:39.328873,0 days 00:00:00.095413,0.24711905168903917,0.02692133977304773,3,854,24,COMPLETE,0.2
18,0.008113882936397256,2024-10-26 15:30:39.329233,2024-10-26 15:30:39.434504,0 days 00:00:00.105271,0.5117036646027737,0.01817523802057971,13,253,8,COMPLETE,0.2
19,0.008113882936397256,2024-10-26 15:30:39.434938,2024-10-26 15:30:39.532923,0 days 00:00:00.097985,0.027201193028881465,0.03885183567300652,9,583,16,COMPLETE,0.2
0,0.012170824404595887,2024-10-26 15:30:39.636211,2024-10-26 15:30:39.749071,0 days 00:00:00.112860,0.7366602134831235,0.021851478670147664,13,744,3,COMPLETE,0.3
1,0.012170824404595887,2024-10-26 15:30:39.749236,2024-10-26 15:30:39.838939,0 days 00:00:00.089703,0.7013472814323567,0.058762143999508784,6,285,11,COMPLETE,0.3
2,0.012170824404595887,2024-10-26 15:30:39.839092,2024-10-26 15:30:39.932462,0 days 00:00:00.093370,0.8790952428700312,0.050701832881640874,4,153,10,COMPLETE,0.3
3,0.012170824404595887,2024-10-26 15:30:39.932617,2024-10-26 15:30:40.020791,0 days 00:00:00.088174,0.0018749713916379473,0.011015043211653556,6,913,23,COMPLETE,0.3
4,0.012170824404595887,2024-10-26 15:30:40.020957,2024-10-26 15:30:40.115078,0 days 00:00:00.094121,0.3335158946775393,0.035438339698709936,16,148,11,COMPLETE,0.3
