number,value,datetime_start,datetime_complete,duration,params_alpha,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_min_child_weight,params_min_split_gain,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,params_subsample_freq,state,quantile
0,0.035176857628054795,2024-10-17 21:52:44.538101,2024-10-17 21:52:45.878413,0 days 00:00:01.340312,0.04311217986395624,0.5778294304219969,0.06566480678709968,14,96,1.9392783967843579,0.8141435200675913,411,61,0.6585912217782155,0.35611321055420786,0.6870821752601863,5,COMPLETE,0.1
1,0.035176857628054795,2024-10-17 21:52:45.878725,2024-10-17 21:52:50.556621,0 days 00:00:04.677896,0.16156306265790968,0.880834032755387,0.025048766701887496,17,35,4.352693297715231,0.2133373459800666,335,178,0.17911674409267841,0.5913701447962978,0.6816490278432257,3,COMPLETE,0.1
2,0.035176857628054795,2024-10-17 21:52:50.556841,2024-10-17 21:52:53.009157,0 days 00:00:02.452316,0.0070288013015850385,0.5752032841785369,0.0688108385384917,12,97,2.861430478738247,0.6861605303903283,600,144,0.5056978569486896,0.016570823810650004,0.9162214314723445,8,COMPLETE,0.1
3,0.035176857628054795,2024-10-17 21:52:53.009362,2024-10-17 21:52:56.896164,0 days 00:00:03.886802,0.03945677172651161,0.5477092823868687,0.03100968604276635,9,72,7.290444175149448,0.3717213509753935,698,212,0.1678140938720727,0.5113877364385874,0.5356988211772724,7,COMPLETE,0.1
4,0.035176857628054795,2024-10-17 21:52:56.896376,2024-10-17 21:52:59.064409,0 days 00:00:02.168033,0.0386137056589265,0.7151791594368262,0.03460961132080826,9,25,4.1040870809399985,0.20338997743735188,254,69,0.5512479152877573,0.6599873363703085,0.9705038110375865,1,COMPLETE,0.1
5,0.02831983875898683,2024-10-17 21:52:59.064625,2024-10-17 21:53:05.614952,0 days 00:00:06.550327,0.004464172025233701,0.953267939658859,0.017539436461383607,12,44,6.934375267549178,0.18844011382828363,654,292,0.374648917690808,0.9531074520693883,0.9194823034224597,9,COMPLETE,0.1
6,0.035176857628054795,2024-10-17 21:53:05.615180,2024-10-17 21:53:06.181915,0 days 00:00:00.566735,0.012458375466507115,0.8874652243518967,0.04217396452892268,18,98,7.078300365841382,0.896045499002653,116,239,0.2566553038415559,0.3692052071425401,0.8068462654402547,8,COMPLETE,0.1
7,0.035176857628054795,2024-10-17 21:53:06.182128,2024-10-17 21:53:07.626141,0 days 00:00:01.444013,0.8528178146036196,0.9365165038985384,0.033134403887587295,7,55,3.9809738390117424,0.7667536082959343,571,189,0.3869285500170321,0.6385922386876506,0.5728880601968656,10,COMPLETE,0.1
8,0.0136165945645712,2024-10-17 21:53:07.626355,2024-10-17 21:53:09.981183,0 days 00:00:02.354828,0.0015719106210831152,0.9034826622458904,0.012997836830415119,17,84,7.031826603744287,0.4733988581091022,367,241,0.9269585274831257,0.8602332076436892,0.8240398866217409,6,COMPLETE,0.1
9,0.03147186861594662,2024-10-17 21:53:09.981418,2024-10-17 21:53:10.705657,0 days 00:00:00.724239,0.003972042390891354,0.6005800728204256,0.015237802065416342,3,47,4.86685973594894,0.10501486033436636,343,215,0.39567017475312716,0.20723114952958355,0.7629386599303378,4,COMPLETE,0.1
