number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_min_child_weight,params_min_split_gain,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,params_subsample_freq,state,alpha
10,0.0018547780434411932,2024-10-16 21:54:47.918621,2024-10-16 21:55:13.686674,0 days 00:00:25.768053,0.8612595823763285,0.08934873512708665,20,5,9.438794579394347,0.12342189127130854,562,225,0.4330465829895618,0.9900828424862153,0.5074327895449943,10,PRUNED,0.1
11,0.0017662655888523338,2024-10-16 21:55:13.686851,2024-10-16 21:55:17.192914,0 days 00:00:03.506063,0.8479113832438403,0.04298576007868984,15,99,3.9741586138846134,0.2961575431321225,429,219,0.4325558702234298,0.6310564432136725,0.6623774339585551,8,COMPLETE,0.1
12,0.0017959107135680239,2024-10-16 21:55:17.194821,2024-10-16 21:55:19.105381,0 days 00:00:01.910560,0.6361279748860661,0.051934673226145464,20,54,3.8099560415246367,0.32353263161452983,120,294,0.00019221665615221095,0.7627729293217577,0.6562634751474367,8,PRUNED,0.1
13,0.0017698258727392724,2024-10-16 21:55:19.105549,2024-10-16 21:55:22.003212,0 days 00:00:02.897663,0.9168008829089083,0.023327808853174235,14,51,4.823182975952149,0.7054012050747522,623,212,0.3406565641943032,0.35260878724985684,0.6812774729342158,8,PRUNED,0.1
14,0.0017777927345229178,2024-10-16 21:55:22.003363,2024-10-16 21:55:25.585946,0 days 00:00:03.582583,0.7678839810700544,0.020080258519411,18,84,2.4668401144715695,0.3125722470756219,383,123,0.567814720450633,0.5679467136764553,0.585022284781271,10,PRUNED,0.1
15,0.0017833008684946326,2024-10-16 21:55:25.586104,2024-10-16 21:55:27.355044,0 days 00:00:01.768940,0.6569960834570808,0.03623677668725679,6,60,5.54656099283323,0.6702726121445415,298,189,0.3209065062828831,0.0176224726119949,0.7144851115470787,7,PRUNED,0.1
16,0.0017507967723187727,2024-10-16 21:55:27.355201,2024-10-16 21:55:36.491407,0 days 00:00:09.136206,0.5223911563224979,0.06394861896441797,13,90,2.9574648048006402,0.009622088314537036,476,275,0.6466528859015015,0.8516852103904924,0.5983904130293296,9,COMPLETE,0.1
17,0.001783496155645312,2024-10-16 21:55:36.491773,2024-10-16 21:55:59.266293,0 days 00:00:22.774520,0.5089644754998287,0.08151636630528679,17,99,3.3768258122513144,0.0717233192698511,967,259,0.6939736293147242,0.8599530786499897,0.5813582994981996,1,PRUNED,0.1
18,0.0017669338938637133,2024-10-16 21:55:59.266487,2024-10-16 21:56:04.862586,0 days 00:00:05.596099,0.8259591065805227,0.06245644712071743,14,41,2.1290773876868347,0.20749377077514397,509,257,0.7791901002094705,0.8073980502204662,0.6157044443103465,9,PRUNED,0.1
19,0.001797244717270745,2024-10-16 21:56:04.862839,2024-10-16 21:56:28.267244,0 days 00:00:23.404405,0.9183566686484139,0.06644088761044924,17,12,8.34023096282312,0.014015649383926576,638,190,0.9597310165169338,0.9934276870437693,0.5054734245864011,7,PRUNED,0.1
0,0.002966644211602767,2024-10-16 21:56:37.523352,2024-10-16 21:56:38.259385,0 days 00:00:00.736033,0.6979687253652704,0.03710892994713257,3,89,4.854160491990352,0.7510520946457334,320,194,0.44704416009848635,0.3306598439270465,0.9800422075510837,8,COMPLETE,0.2
