number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,state,alpha
6,7.904899023337828,2024-10-12 21:31:40.340038,2024-10-12 21:31:41.023875,0 days 00:00:00.683837,0.6354523357580502,0.049538067929003504,4,53,286,220,0.5743890218460858,0.7581797776725143,0.9034055381105214,PRUNED,0.2
7,6.260071493864912,2024-10-12 21:31:41.023994,2024-10-12 21:31:48.519770,0 days 00:00:07.495776,0.8886754237009238,0.09668061027894359,9,10,784,87,0.5815853201519919,0.3248275963178523,0.8306080404322955,COMPLETE,0.2
8,6.803918810406669,2024-10-12 21:31:48.519952,2024-10-12 21:31:53.109564,0 days 00:00:04.589612,0.5812352484350087,0.07081063487604365,6,38,947,277,0.18205575278258146,0.40548891822277533,0.5853983454676155,PRUNED,0.2
9,7.895256162162293,2024-10-12 21:31:53.109682,2024-10-12 21:31:54.791299,0 days 00:00:01.681617,0.9501912577335008,0.013183888142328999,7,24,269,284,0.4934369933751751,0.004504725387285191,0.56855218687798,PRUNED,0.2
10,7.086108951772989,2024-10-12 21:31:54.791420,2024-10-12 21:31:57.161551,0 days 00:00:02.370131,0.7416253344792683,0.02543462651184017,20,100,486,37,0.9875328533041655,0.655571809879692,0.6977924130714602,PRUNED,0.2
11,6.003917561503701,2024-10-12 21:31:57.161670,2024-10-12 21:32:07.739193,0 days 00:00:10.577523,0.884798501220309,0.09634086247940236,14,5,742,120,0.81010147886235,0.4063029221591571,0.8060349726388226,COMPLETE,0.2
12,6.059016735489837,2024-10-12 21:32:07.739373,2024-10-12 21:32:15.919067,0 days 00:00:08.179694,0.8361257372999163,0.09534246666675213,16,70,691,130,0.8870780196703949,0.5714692444091976,0.7382220331440116,COMPLETE,0.2
13,5.997934626718024,2024-10-12 21:32:15.919249,2024-10-12 21:32:24.821538,0 days 00:00:08.902289,0.8494222315582938,0.0953345110267542,15,66,807,131,0.9683684743151395,0.5275214258126931,0.7287499547240739,COMPLETE,0.2
14,5.771501454142799,2024-10-12 21:32:24.821717,2024-10-12 21:32:38.889284,0 days 00:00:14.067567,0.9929168667623047,0.06899634241557105,15,10,907,135,0.8216767415753895,0.290442610163639,0.6695061000346123,COMPLETE,0.2
15,6.34121407302494,2024-10-12 21:32:38.889466,2024-10-12 21:32:43.600296,0 days 00:00:04.710830,0.9721654922771843,0.06429997549558182,15,39,971,35,0.9923581937373767,0.3298676020890284,0.6948678573892222,PRUNED,0.2
