number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,state,alpha
13,7.873296709750418,2024-10-12 21:42:07.474230,2024-10-12 21:42:18.474368,0 days 00:00:11.000138,0.6830640922746052,0.05468721189717455,20,36,726,140,0.4870594492087886,0.07054078203845225,0.6729172844161767,COMPLETE,0.6
14,8.19248817865878,2024-10-12 21:42:18.474552,2024-10-12 21:42:25.272207,0 days 00:00:06.797655,0.6936246824955483,0.061245614638498785,15,33,673,90,0.5079575347349945,0.009803630356151949,0.7059413896919486,COMPLETE,0.6
15,8.043118381067902,2024-10-12 21:42:25.272403,2024-10-12 21:42:36.786387,0 days 00:00:11.513984,0.6750306098455883,0.053620936212496355,20,68,856,145,0.9196337755080399,0.20343076912634017,0.7296023803647584,COMPLETE,0.6
16,8.270286761141728,2024-10-12 21:42:36.786573,2024-10-12 21:42:44.563222,0 days 00:00:07.776649,0.5614129030978386,0.08809248451362026,10,35,682,233,0.503713253933958,0.21766851987356195,0.6673355237420185,PRUNED,0.6
17,8.53645032221511,2024-10-12 21:42:44.563352,2024-10-12 21:42:50.841014,0 days 00:00:06.277662,0.7217921526195258,0.047383395303276454,13,64,886,63,0.8278720701786648,0.009037786816072608,0.5873891099052277,PRUNED,0.6
18,8.161028308815444,2024-10-12 21:42:50.841135,2024-10-12 21:42:55.156890,0 days 00:00:04.315755,0.9870428811680769,0.07236056478080385,17,41,286,217,0.4097917273038662,0.5018546506222615,0.7696453544315504,COMPLETE,0.6
19,9.811327404606363,2024-10-12 21:42:55.157067,2024-10-12 21:42:57.071863,0 days 00:00:01.914796,0.6196884005501283,0.02673111327108169,11,26,628,20,0.5865395064610139,0.6248520617579142,0.5035331276171078,PRUNED,0.6
0,8.557794009520105,2024-10-12 21:43:07.900364,2024-10-12 21:43:11.839380,0 days 00:00:03.939016,0.5312980098581738,0.012334411991301943,7,92,771,272,0.37007838313483166,0.22468966362750142,0.610790271010496,COMPLETE,0.7
1,8.26821256921051,2024-10-12 21:43:11.839560,2024-10-12 21:43:16.852084,0 days 00:00:05.012524,0.575105520299928,0.06010913176812799,7,52,845,100,0.028355650962637258,0.9351505280978701,0.7393521204017848,COMPLETE,0.7
2,7.985061100015673,2024-10-12 21:43:16.852262,2024-10-12 21:43:24.893280,0 days 00:00:08.041018,0.5246861366478555,0.011588285175972749,15,36,438,194,0.5534243901091795,0.2930722030358869,0.9690378205694745,COMPLETE,0.7
3,7.982920084925282,2024-10-12 21:43:24.893458,2024-10-12 21:43:28.782850,0 days 00:00:03.889392,0.9539425592983738,0.043222480994918225,15,67,666,44,0.16145116246000946,0.9415647864643402,0.9716539935897883,COMPLETE,0.7
4,7.668124612358544,2024-10-12 21:43:28.783025,2024-10-12 21:43:37.762706,0 days 00:00:08.979681,0.7801261853622227,0.024415280896513614,19,60,990,79,0.010067014548189701,0.22306320107425082,0.8692476993570014,COMPLETE,0.7
5,7.4806116244477865,2024-10-12 21:43:37.762882,2024-10-12 21:43:46.200110,0 days 00:00:08.437228,0.7335840034417487,0.04743610232513941,16,19,753,97,0.1006522334764498,0.5198208692702462,0.6643264556419601,COMPLETE,0.7
6,8.814314407035114,2024-10-12 21:43:46.200284,2024-10-12 21:43:47.849326,0 days 00:00:01.649042,0.8751290007854736,0.016364449254601943,6,81,389,117,0.7694622806734398,0.03845747345703088,0.5111166112681766,PRUNED,0.7
7,8.021318668047162,2024-10-12 21:43:47.849442,2024-10-12 21:43:51.747152,0 days 00:00:03.897710,0.9837582075427502,0.03304206385057638,10,72,519,231,0.31766181872772914,0.2235575806893274,0.8200568569693064,PRUNED,0.7
8,8.32361258497877,2024-10-12 21:43:51.747273,2024-10-12 21:43:58.818776,0 days 00:00:07.071503,0.7992413141315323,0.01377235231961109,15,44,283,275,0.08003044801002823,0.7070375112004583,0.8769359276535508,PRUNED,0.7
9,7.496696588220452,2024-10-12 21:43:58.818926,2024-10-12 21:44:11.219969,0 days 00:00:12.401043,0.6303860785612388,0.028344404974434835,12,19,638,240,0.0797369088688864,0.29873778884967683,0.7778391939961626,COMPLETE,0.7
10,6.864976484886643,2024-10-12 21:44:11.220162,2024-10-12 21:44:29.236849,0 days 00:00:18.016687,0.6680910269408886,0.09737961428440942,20,7,971,155,0.9129673471764947,0.5653163897334931,0.6674068609654675,COMPLETE,0.7
11,6.911119442745356,2024-10-12 21:44:29.237032,2024-10-12 21:44:47.734343,0 days 00:00:18.497311,0.6870299162913136,0.0977206022622625,20,5,987,158,0.8727508562506711,0.5816430804515393,0.6621061531708679,COMPLETE,0.7
12,6.879280285540823,2024-10-12 21:44:47.734532,2024-10-12 21:45:05.953100,0 days 00:00:18.218568,0.675286930563195,0.0930985006872764,20,7,978,161,0.9972672904599125,0.6151971403679602,0.6509116807763555,COMPLETE,0.7
13,7.442722214552269,2024-10-12 21:45:05.953282,2024-10-12 21:45:07.997749,0 days 00:00:02.044467,0.6597141032434805,0.09892044342377139,18,7,115,161,0.9785298935225923,0.7122912562976027,0.5748404146231451,COMPLETE,0.7
14,7.102140759243276,2024-10-12 21:45:07.997933,2024-10-12 21:45:23.645318,0 days 00:00:15.647385,0.6262745099089582,0.07179796717831866,20,28,905,160,0.719706341838837,0.7094383469826495,0.7037242415761374,COMPLETE,0.7
15,7.101740680546018,2024-10-12 21:45:23.645506,2024-10-12 21:45:39.493133,0 days 00:00:15.847627,0.709701173473673,0.07027823180051086,12,19,870,192,0.994489796306973,0.4202590115216293,0.5781922127331185,COMPLETE,0.7
16,8.262222356344283,2024-10-12 21:45:39.493348,2024-10-12 21:45:42.223749,0 days 00:00:02.730401,0.8354144751856043,0.08008907123019943,18,31,713,25,0.6236807448118789,0.8191818444166689,0.5161298075541466,PRUNED,0.7
17,9.606361165114398,2024-10-12 21:45:42.223883,2024-10-12 21:45:43.647876,0 days 00:00:01.423993,0.5944389067166338,0.04661516802442908,3,12,996,138,0.8740657006340566,0.5850293574951191,0.6449330286822565,PRUNED,0.7
18,7.144929651715786,2024-10-12 21:45:43.648002,2024-10-12 21:45:57.299767,0 days 00:00:13.651765,0.7472108861301969,0.05673595615040331,17,48,839,192,0.8383630495678825,0.4236439536082173,0.7254747271535704,COMPLETE,0.7
19,7.479636470309848,2024-10-12 21:45:57.299949,2024-10-12 21:46:06.893106,0 days 00:00:09.593157,0.674907244419503,0.02009191792054112,13,26,553,215,0.6857576892414903,0.8095032099253939,0.8021749929518196,PRUNED,0.7
0,6.94258832278937,2024-10-12 21:46:24.730739,2024-10-12 21:46:27.142983,0 days 00:00:02.412244,0.8704240309438724,0.01224706693424924,19,27,705,25,0.6276226846357948,0.7773762952453105,0.8443002257368214,COMPLETE,0.8
1,6.780542219720569,2024-10-12 21:46:27.143149,2024-10-12 21:46:28.782766,0 days 00:00:01.639617,0.5501256570272446,0.030695623547431713,8,27,422,31,0.3279040530427504,0.45941385550215375,0.9968033557785115,COMPLETE,0.8
2,6.57538855452528,2024-10-12 21:46:28.782937,2024-10-12 21:46:33.707601,0 days 00:00:04.924664,0.6414702549601177,0.028146388914731445,8,26,986,43,0.24355989780476572,0.6116721389211238,0.8331659633914771,COMPLETE,0.8
3,6.943037853755966,2024-10-12 21:46:33.707772,2024-10-12 21:46:35.640105,0 days 00:00:01.932333,0.8170296918194725,0.01753851523502938,6,50,476,85,0.7590718686095067,0.9009362838690604,0.6259189533993534,COMPLETE,0.8
4,6.207695757773881,2024-10-12 21:46:35.640276,2024-10-12 21:46:38.199187,0 days 00:00:02.558911,0.553816566624728,0.09979827353505367,12,7,141,178,0.9772572508554878,0.44041930217114345,0.9482985212225765,COMPLETE,0.8
5,7.095717501445809,2024-10-12 21:46:38.199357,2024-10-12 21:46:38.757466,0 days 00:00:00.558109,0.7070297476761853,0.03738642945934462,7,63,147,30,0.4817606172888844,0.03213584918641288,0.9459787869135744,PRUNED,0.8
6,11.133638208758256,2024-10-12 21:46:38.757581,2024-10-12 21:46:39.390434,0 days 00:00:00.632853,0.6081130756118567,0.01609516108846576,8,78,134,36,0.6436163324781993,0.7008984607632137,0.7298263864983325,PRUNED,0.8
7,6.8630401052423915,2024-10-12 21:46:39.390561,2024-10-12 21:46:41.518676,0 days 00:00:02.128115,0.5054479196772846,0.07377637186713311,6,98,537,234,0.12044192200961867,0.012591657774430831,0.5546001937656425,PRUNED,0.8
8,7.058407138311581,2024-10-12 21:46:41.518806,2024-10-12 21:46:43.694567,0 days 00:00:02.175761,0.6838904186320974,0.042064550758244904,5,90,713,248,0.2267832100040169,0.4670720954853316,0.5345346566353679,PRUNED,0.8
9,5.942018468387617,2024-10-12 21:46:43.694693,2024-10-12 21:47:01.524499,0 days 00:00:17.829806,0.7687737359061577,0.06817512300005946,11,13,881,218,0.7725795016838143,0.23395929918863234,0.6532796525187641,COMPLETE,0.8
10,5.802634721586718,2024-10-12 21:47:01.524702,2024-10-12 21:47:20.607746,0 days 00:00:19.083044,0.9909356488269347,0.06998881015411837,16,5,984,173,0.9151922310189304,0.24955608929970238,0.6787496429744647,COMPLETE,0.8
11,5.809692899148281,2024-10-12 21:47:20.607935,2024-10-12 21:47:39.749561,0 days 00:00:19.141626,0.9675747138889771,0.0646021253186509,14,6,978,175,0.9950416010406474,0.2111022838059968,0.6697243453728916,COMPLETE,0.8
12,5.824481298381928,2024-10-12 21:47:39.749743,2024-10-12 21:47:51.700628,0 days 00:00:11.950885,0.990147275479351,0.056780792280869484,17,46,876,135,0.9952052982425744,0.23878482859917913,0.7094666409334424,COMPLETE,0.8
13,5.967772512553058,2024-10-12 21:47:51.700811,2024-10-12 21:48:21.038221,0 days 00:00:29.337410,0.9898852996441168,0.09301758214346435,15,6,991,288,0.8384283094563367,0.23989992037352786,0.6236178086842339,COMPLETE,0.8
14,5.94470136932628,2024-10-12 21:48:21.038441,2024-10-12 21:48:31.783702,0 days 00:00:10.745261,0.9052446355314092,0.05024886661580159,14,36,733,150,0.8896058248331618,0.30064409488870075,0.8115519288512791,COMPLETE,0.8
15,5.78726874404797,2024-10-12 21:48:31.783905,2024-10-12 21:48:42.218604,0 days 00:00:10.434699,0.9206760665464954,0.06959002188790558,20,18,820,108,0.6287870347740373,0.10730068013086541,0.6796306344282111,COMPLETE,0.8
16,5.960603987701834,2024-10-12 21:48:42.218811,2024-10-12 21:48:52.313342,0 days 00:00:10.094531,0.9102543591723626,0.0219419773358006,20,19,792,111,0.5125147516518673,0.1202916357879443,0.7800808747756571,PRUNED,0.8
17,6.181209062278666,2024-10-12 21:48:52.313475,2024-10-12 21:48:55.903013,0 days 00:00:03.589538,0.8625334239845853,0.04780848292057968,18,38,342,94,0.6264130721200107,0.36721268257310435,0.582158397265355,PRUNED,0.8
18,6.067832615478129,2024-10-12 21:48:55.903137,2024-10-12 21:49:03.251466,0 days 00:00:07.348329,0.9317257145118174,0.08167360662529438,16,69,636,203,0.4550007045503409,0.09939291411559148,0.503682273293319,PRUNED,0.8
19,7.811547258125032,2024-10-12 21:49:03.251589,2024-10-12 21:49:04.599190,0 days 00:00:01.347601,0.79887568157169,0.03731926484071126,3,18,868,123,0.6955517820333292,0.12159027468156738,0.6995082461132427,PRUNED,0.8
0,4.1531665898502785,2024-10-12 21:49:15.025388,2024-10-12 21:49:17.083086,0 days 00:00:02.057698,0.8154139594253312,0.08005461507530484,7,82,455,246,0.27599131620566075,0.6246395667966832,0.5914623271349873,COMPLETE,0.9
1,4.253270543762334,2024-10-12 21:49:17.083251,2024-10-12 21:49:18.700434,0 days 00:00:01.617183,0.6146190031532139,0.02623895975171015,13,32,226,65,0.7647417091788882,0.9141063552669592,0.5163733109926865,COMPLETE,0.9
2,4.362625823744799,2024-10-12 21:49:18.700610,2024-10-12 21:49:20.612130,0 days 00:00:01.911520,0.7845268678888446,0.03427082557799028,5,75,626,242,0.20960045563015817,0.38577449258304464,0.7232198665628875,COMPLETE,0.9
3,3.9838025924126312,2024-10-12 21:49:20.612302,2024-10-12 21:49:30.485744,0 days 00:00:09.873442,0.8248509186204418,0.01474278803700333,13,22,857,117,0.04282511648322607,0.3761534770293422,0.7983616321186706,COMPLETE,0.9
4,3.9417277076130475,2024-10-12 21:49:30.485927,2024-10-12 21:49:43.266695,0 days 00:00:12.780768,0.8034670024183868,0.08469427797191537,13,50,796,289,0.11298797172675323,0.762832466476462,0.8194583653823992,COMPLETE,0.9
5,4.293988877968663,2024-10-12 21:49:43.266882,2024-10-12 21:49:44.411135,0 days 00:00:01.144253,0.9773150202745122,0.05540562975910599,7,94,359,22,0.48148330137864703,0.46552252708481145,0.944522225433239,PRUNED,0.9
6,4.190631857595729,2024-10-12 21:49:44.411256,2024-10-12 21:49:46.816307,0 days 00:00:02.405051,0.8725108296318214,0.04867122364887314,6,10,541,39,0.6125706658335341,0.4905139857724349,0.530164055077603,PRUNED,0.9
7,4.223143732682403,2024-10-12 21:49:46.816427,2024-10-12 21:49:48.147323,0 days 00:00:01.330896,0.5431909625446223,0.04781497594652269,7,49,331,33,0.17430573818542738,0.6286964718209613,0.9092442495836667,PRUNED,0.9
8,4.57802712123976,2024-10-12 21:49:48.147443,2024-10-12 21:49:49.825216,0 days 00:00:01.677773,0.543774173560482,0.016836971488620657,4,82,861,119,0.7938949953529529,0.981253750233479,0.6740561277578688,PRUNED,0.9
9,4.1378600511989765,2024-10-12 21:49:49.825334,2024-10-12 21:49:52.605767,0 days 00:00:02.780433,0.8691407273506746,0.03662516658872571,9,74,346,250,0.008703324993994954,0.09246266604490327,0.6674971125717009,COMPLETE,0.9
10,4.015760981272612,2024-10-12 21:49:52.605941,2024-10-12 21:50:09.616427,0 days 00:00:17.010486,0.6931376617989554,0.08786670980136643,19,55,716,299,0.42738038284615926,0.7846345155018629,0.8605913696230849,COMPLETE,0.9
11,4.053600885747295,2024-10-12 21:50:09.616613,2024-10-12 21:50:24.695904,0 days 00:00:15.079291,0.7042818993059148,0.010229612801184878,14,11,976,158,0.01824159888332688,0.23565413656786366,0.814571057496471,COMPLETE,0.9
12,3.937590223160701,2024-10-12 21:50:24.696093,2024-10-12 21:50:33.560285,0 days 00:00:08.864192,0.9511667798317133,0.019329922496698366,16,31,801,105,0.3268148868344698,0.26947826429361066,0.7907708200273017,COMPLETE,0.9
13,3.9366270258881495,2024-10-12 21:50:33.560462,2024-10-12 21:50:46.434389,0 days 00:00:12.873927,0.9909617254123653,0.022554058341743538,17,49,756,187,0.3593587115749673,0.055776095702182116,0.7611211835313914,COMPLETE,0.9
14,3.969262550686834,2024-10-12 21:50:46.434570,2024-10-12 21:51:04.440833,0 days 00:00:18.006263,0.9915249508541089,0.02185047366704869,18,35,996,188,0.33878242316629353,0.05014373344065298,0.7271264539840435,COMPLETE,0.9
15,3.9563554693805156,2024-10-12 21:51:04.441019,2024-10-12 21:51:14.015309,0 days 00:00:09.574290,0.9217166343308261,0.01882379483729912,16,60,678,182,0.6082995096017254,0.2012517175122299,0.6661317241548244,COMPLETE,0.9
16,4.025195871646311,2024-10-12 21:51:14.015493,2024-10-12 21:51:22.581182,0 days 00:00:08.565689,0.9454579147251774,0.011232937953865442,17,39,776,106,0.9507775991483691,0.2155713061904323,0.992820140710667,PRUNED,0.9
17,4.031380681231414,2024-10-12 21:51:22.581308,2024-10-12 21:51:28.093627,0 days 00:00:05.512319,0.8907333696394957,0.025624186031913774,10,25,551,151,0.36989593956304817,0.03963927910845133,0.7628324810464479,PRUNED,0.9
18,12.689042123069616,2024-10-12 21:51:28.093747,2024-10-12 21:51:29.230899,0 days 00:00:01.137152,0.9922527485067911,0.01381403539764548,20,63,110,86,0.5670925414909604,0.294553929749591,0.8537168702493657,PRUNED,0.9
19,3.93940781950083,2024-10-12 21:51:29.231026,2024-10-12 21:51:44.416592,0 days 00:00:15.185566,0.9252278605449902,0.029105802393105187,15,43,892,204,0.2782517431054654,0.12796931071438258,0.6117141738513491,COMPLETE,0.9
