n_estimators,learning_rate,num_leaves,max_depth,min_child_samples,subsample,colsample_bytree,reg_alpha,reg_lambda,alpha,loss
816.0,0.06125552198492832,187.0,17.0,19.0,0.7608814014756589,0.7600471624026109,0.5320277445454893,0.521725935543495,0.1,3.9138009661125683
907.0,0.06899634241557105,135.0,15.0,10.0,0.6695061000346123,0.9929168667623047,0.8216767415753895,0.290442610163639,0.2,5.771501454142799
589.0,0.09116633148380238,242.0,19.0,8.0,0.9936984440177083,0.8970197081858321,0.7328634343417388,0.39458728320659797,0.3,6.933793570757397
960.0,0.023673974311671828,220.0,20.0,22.0,0.6319375820074091,0.8543012978737345,0.37515255094052846,0.04204136102137132,0.4,7.820451313388648
553.0,0.09904883072794549,221.0,18.0,32.0,0.8280247373491697,0.9227887091132818,0.8640633853443835,0.16682854638270128,0.5,7.886675329777556
726.0,0.05468721189717455,140.0,20.0,36.0,0.6729172844161767,0.6830640922746052,0.4870594492087886,0.07054078203845225,0.6,7.873296709750418
971.0,0.09737961428440942,155.0,20.0,7.0,0.6674068609654675,0.6680910269408886,0.9129673471764947,0.5653163897334931,0.7,6.864976484886643
820.0,0.06959002188790558,108.0,20.0,18.0,0.6796306344282111,0.9206760665464954,0.6287870347740373,0.10730068013086541,0.8,5.78726874404797
756.0,0.022554058341743538,187.0,17.0,49.0,0.7611211835313914,0.9909617254123653,0.3593587115749673,0.055776095702182116,0.9,3.9366270258881495
