number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_min_child_weight,params_min_split_gain,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,params_subsample_freq,state,alpha
0,0.001806066601724984,2024-10-26 14:21:42.233889,2024-10-26 14:21:44.973696,0 days 00:00:02.739807,0.5528299514520307,0.01868974260386141,10,99,4.01900401580707,0.9476159904458451,543,35,0.254562590974293,0.15372729334300883,0.8238218711986173,10,COMPLETE,0.1
1,0.001756211231266255,2024-10-26 14:21:44.973943,2024-10-26 14:21:46.065764,0 days 00:00:01.091821,0.6841611920585638,0.028584086447448902,7,55,7.116169373169752,0.9168057521813353,224,55,0.9563461500900806,0.0447859994629779,0.8725641487767997,7,COMPLETE,0.1
2,0.0017862616601573653,2024-10-26 14:21:46.065988,2024-10-26 14:21:47.886248,0 days 00:00:01.820260,0.7799541121177069,0.05405160800202604,5,84,1.1428008536624525,0.08623676841036798,570,93,0.6077056718967693,0.014720249622468984,0.7057447649144302,6,COMPLETE,0.1
3,0.0018167012555737477,2024-10-26 14:21:47.886432,2024-10-26 14:22:01.292121,0 days 00:00:13.405689,0.8037443046971817,0.06694957850091139,13,22,1.2139234553029217,0.1289540014339401,818,222,0.8035987257272166,0.7528662423556781,0.6491603291093342,8,COMPLETE,0.1
4,0.0018479683948355373,2024-10-26 14:22:01.292299,2024-10-26 14:22:01.635735,0 days 00:00:00.343436,0.6785355588170052,0.05596306596581665,3,6,2.878899083085014,0.4155856575556136,223,289,0.5012431140311793,0.16261119175985028,0.6398448050334367,6,COMPLETE,0.1
5,0.0019612880455912554,2024-10-26 14:22:01.635921,2024-10-26 14:22:02.071863,0 days 00:00:00.435942,0.5413495066721812,0.019361994618937034,4,24,3.162088256790427,0.2782230020696006,187,20,0.3005523584859141,0.33879464801270787,0.8133030364159781,9,PRUNED,0.1
6,0.0017112051677000632,2024-10-26 14:22:02.071988,2024-10-26 14:22:03.808302,0 days 00:00:01.736314,0.9949078963114933,0.02667219776911205,16,14,3.1288028973156066,0.3902968075707878,423,28,0.9599416197386411,0.5402582535975005,0.5203452283412111,2,COMPLETE,0.1
7,0.001763433054530223,2024-10-26 14:22:03.808501,2024-10-26 14:22:05.141469,0 days 00:00:01.332968,0.5841008831102155,0.034484330556297745,5,83,3.365260588164782,0.5265477836095359,405,72,0.09349159378348071,0.2360880331095322,0.8375508283055186,7,COMPLETE,0.1
8,0.0017862937331060223,2024-10-26 14:22:05.141650,2024-10-26 14:22:06.239152,0 days 00:00:01.097502,0.8249617585425273,0.0777731708347951,15,70,7.846903401527548,0.24181990833597988,232,31,0.3899185954705612,0.845251486897142,0.5657004389333531,4,PRUNED,0.1
9,0.0017050623218963588,2024-10-26 14:22:06.239275,2024-10-26 14:22:08.021256,0 days 00:00:01.781981,0.8093206869707925,0.04149699352067436,17,53,9.251110255118205,0.3642913362020941,433,24,0.9879024469281591,0.6735476731161414,0.7549785986223743,4,COMPLETE,0.1
10,0.0015890185416464764,2024-10-26 14:22:08.021453,2024-10-26 14:22:12.614041,0 days 00:00:04.592588,0.9325765718253054,0.011181443842479962,19,44,9.873886029532647,0.6598857322686105,956,134,0.7245821871089821,0.9881477706074235,0.9726820887220737,1,COMPLETE,0.1
11,0.0015857805890655949,2024-10-26 14:22:12.614231,2024-10-26 14:22:18.070094,0 days 00:00:05.455863,0.9286765216186763,0.010095108847145384,20,42,9.74952103716659,0.6422305495324939,975,138,0.703420037590159,0.9735502957966514,0.992541873579184,2,COMPLETE,0.1
12,0.0015749206350112355,2024-10-26 14:22:18.070277,2024-10-26 14:22:22.987935,0 days 00:00:04.917658,0.9589482476518661,0.010120429738404126,20,38,9.76535031960944,0.6518241231687275,985,150,0.7007663903638759,0.9641480769790137,0.9995029561197597,1,COMPLETE,0.1
13,0.0016278173671727396,2024-10-26 14:22:22.988118,2024-10-26 14:22:29.497388,0 days 00:00:06.509270,0.8994671964788639,0.010208324731522285,20,37,6.251589102855701,0.7131682543917169,989,176,0.6894679075485888,0.9798960549270906,0.9931585814984589,3,COMPLETE,0.1
14,0.0016001557296070172,2024-10-26 14:22:29.497574,2024-10-26 14:22:33.162465,0 days 00:00:03.664891,0.990858479862276,0.014258535981191303,20,37,8.644047475940969,0.7082469795674058,784,155,0.5479769501628882,0.8448583194249353,0.9287473230978388,1,COMPLETE,0.1
15,0.001664324311659297,2024-10-26 14:22:33.162661,2024-10-26 14:22:36.259033,0 days 00:00:03.096372,0.8909666750961115,0.016567363952639896,12,66,6.048753989692971,0.8235924079229341,829,118,0.78624049361429,0.5467024940752482,0.924818224483291,3,COMPLETE,0.1
