number,value,datetime_start,datetime_complete,duration,params_alpha_1,params_alpha_2,params_colsample_bytree,params_lambda_1,params_lambda_2,params_learning_rate,params_max_depth,params_min_child_samples,params_min_child_weight,params_min_split_gain,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,params_subsample_freq,state,quantile
10,0.0039911682119721,2024-10-17 23:31:23.173921,2024-10-17 23:31:42.630185,0 days 00:00:19.456264,0.09679358868640378,1.2872657964770646e-06,0.6512646031547151,0.0017698759986820277,0.006078154095064939,0.045596448841986235,15,94,3.5919636236162105,0.022748470517545805,994,283,0.43315809101478453,0.6473354912848424,0.6418048895936189,8,COMPLETE,0.4
11,0.003995634359538033,2024-10-17 23:31:42.630460,2024-10-17 23:32:02.840234,0 days 00:00:20.209774,0.08390869197960048,1.1990577267720397e-06,0.6314689247495506,0.0007645605550100943,0.003499731040239853,0.04405777758006502,15,97,3.144908341320865,0.0016494339417226223,971,287,0.49108767659435665,0.6603863568965003,0.6119940426772567,8,COMPLETE,0.4
12,0.0037686000781609465,2024-10-17 23:32:02.840589,2024-10-17 23:32:27.619367,0 days 00:00:24.778778,0.04753878621770567,1.9473728396980188e-05,0.6547821205361879,0.0015875972936493273,0.003190559006747006,0.09826008573285581,18,78,2.9973867277350266,0.04411817247796926,991,287,0.42294980931991727,0.9421329995062137,0.6504067003768402,8,COMPLETE,0.4
13,0.0044623639233858006,2024-10-17 23:32:27.619661,2024-10-17 23:32:31.264114,0 days 00:00:03.644453,0.003189028614336242,2.8627074532891403e-05,0.68676460727872,0.00011715427431902797,0.0016925956636278808,0.0840600856626432,20,74,1.8591328087513397,0.18675699733760587,506,28,0.3695169923533108,0.9949482936367757,0.715133010027288,10,COMPLETE,0.4
14,0.003838819228514969,2024-10-17 23:32:31.264413,2024-10-17 23:32:53.489357,0 days 00:00:22.224944,0.0003597213240350059,3.3709532528691464e-05,0.5170564305301149,0.0036416129315687347,0.013304636083985053,0.09844978639158514,18,75,4.465930687787459,0.17654399481669134,825,297,0.6661270196980662,0.9857966000153752,0.5954374325613111,6,COMPLETE,0.4
15,0.003797905796310131,2024-10-17 23:32:53.489647,2024-10-17 23:33:17.479793,0 days 00:00:23.990146,0.010179569431941055,5.403150940408483e-05,0.5133069266468459,0.07236333944199515,0.08803326338373657,0.06059744826318238,18,65,4.289144854233433,0.16937215560870475,796,244,0.5854030080996689,0.9173467473854279,0.6837185593767341,5,COMPLETE,0.4
16,0.005420067807099115,2024-10-17 23:33:17.480201,2024-10-17 23:33:18.387600,0 days 00:00:00.907399,0.01012215780090243,0.00011764003366746479,0.5102378069926388,0.08339597112923526,0.07205370534343275,0.0604317894880248,3,64,2.209878007451466,0.9563456731475755,395,250,0.6405873286920194,0.8614186268125358,0.8089575126665054,5,COMPLETE,0.4
17,0.0038626379617592447,2024-10-17 23:33:18.387895,2024-10-17 23:33:41.346226,0 days 00:00:22.958331,0.01925744241523444,0.0001135073733652581,0.5852127687504598,0.0656171763936938,3.3349579225971848e-06,0.03568186500382715,18,64,0.09277890852612636,0.1285447312490729,754,189,0.5601687090863643,0.8684493726612728,0.6827045288780821,4,COMPLETE,0.4
18,0.004146596167750366,2024-10-17 23:33:41.346536,2024-10-17 23:33:52.175387,0 days 00:00:10.828851,0.001687756693822499,1.3225785840267282e-05,0.5694472937716495,0.014390976698247003,0.0010685655018919157,0.06026570226682949,13,80,3.44877365726271,0.2867732400449309,599,257,0.3331039250135357,0.6945167148169246,0.8284885779087922,7,COMPLETE,0.4
19,0.0038649133711662056,2024-10-17 23:33:52.175687,2024-10-17 23:34:24.927019,0 days 00:00:32.751332,0.027685240932064998,0.00011494465776359716,0.6749830590910765,0.0005077990398030857,1.4542646000495675e-05,0.026942017772161927,18,63,1.5331562066334041,0.08923566990481359,991,196,0.7520082488263684,0.3711785224102727,0.6777098071844065,5,COMPLETE,0.4
0,0.004819266153664019,2024-10-17 23:37:04.328805,2024-10-17 23:37:06.481382,0 days 00:00:02.152577,0.0006625823320862333,1.7381361051742204e-06,0.6084919078283277,0.0004966567441349047,0.00010940210714837896,0.07413099936941209,4,58,0.059212043639712886,0.06103928953768645,561,58,0.09447058512592577,0.1850351331582678,0.7569553284941911,5,COMPLETE,0.5
1,0.004329969252734805,2024-10-17 23:37:06.481668,2024-10-17 23:37:08.812055,0 days 00:00:02.330387,7.0415368614446305e-06,0.0001376690076906281,0.8447168167364623,2.0551445550092633e-05,0.001458130874702767,0.036973825417074335,12,78,0.29587812889228343,0.10685732963227346,129,85,0.028015094725224565,0.20750487749463142,0.7224244870963759,3,COMPLETE,0.5
2,0.0037247738807699355,2024-10-17 23:37:08.812343,2024-10-17 23:37:20.730535,0 days 00:00:11.918192,0.002252027661058192,0.0001735612631757819,0.692839488095516,1.4996302243326876e-06,0.09194069219480802,0.05323728933962189,11,35,2.056755079333869,0.043211204223836175,692,82,0.9294472512357261,0.2700619620671505,0.8778900409973889,3,COMPLETE,0.5
3,0.003413957490050808,2024-10-17 23:37:20.730818,2024-10-17 23:37:47.030218,0 days 00:00:26.299400,0.0004250233659482222,1.269868151936022e-06,0.8871817122256971,0.003222161157210479,0.00961163601650273,0.06458690415339353,20,14,4.154725613195274,0.04885590796304362,684,182,0.019673258524250836,0.4014540929081175,0.5213702010444984,1,COMPLETE,0.5
4,0.004283122016562399,2024-10-17 23:37:47.030704,2024-10-17 23:37:54.507795,0 days 00:00:07.477091,0.011477376098680978,1.9191281075685794e-05,0.7679024127521741,7.904737665837003e-06,1.0681007951924553e-05,0.016219485562427166,10,39,5.918947898224058,0.8355176721741852,679,117,0.8043539555013572,0.8298746724666917,0.6246508446324619,10,COMPLETE,0.5
5,0.004235714660186587,2024-10-17 23:37:54.508258,2024-10-17 23:38:03.963634,0 days 00:00:09.455376,3.875084195527283e-05,0.03330884835037232,0.8763399113577566,5.531095038106677e-06,0.0011284539281790063,0.010488556906421167,13,67,2.9035001131007174,0.5938442848599319,549,90,0.4153835181194576,0.28716893254196196,0.6378029796544853,6,COMPLETE,0.5
6,0.004420338484144847,2024-10-17 23:38:03.963930,2024-10-17 23:38:09.604840,0 days 00:00:05.640910,0.00019997631595969546,5.37961991798797e-05,0.6683190235250692,3.1132557419392623e-06,9.737334938568327e-06,0.021339616721267215,6,9,2.2301119332341406,0.43163345981652124,691,190,0.9072552819928255,0.6993646992124971,0.698137949760113,1,COMPLETE,0.5
7,0.004009131713072702,2024-10-17 23:38:09.605136,2024-10-17 23:38:14.860164,0 days 00:00:05.255028,0.000458726960399017,0.01865227621362185,0.8813912151141048,0.0010490563935835278,0.01754308244439361,0.06963936754708065,11,71,0.5161523953034688,0.3688411044407567,438,181,0.06436471799726273,0.4120764987998363,0.5538803978816514,10,COMPLETE,0.5
8,0.004062964888114471,2024-10-17 23:38:14.860477,2024-10-17 23:38:18.398762,0 days 00:00:03.538285,0.020919473062267564,1.882568150570482e-05,0.9171714006720979,7.97992638867636e-05,6.981098441318916e-05,0.08363027910642408,8,38,2.15236926002108,0.004416052647722268,332,247,0.1529560042467285,0.6595250560071869,0.817800664635753,10,COMPLETE,0.5
9,0.004380631431348669,2024-10-17 23:38:18.399085,2024-10-17 23:38:24.944418,0 days 00:00:06.545333,0.0009326798507992036,0.0012693885218986118,0.7072311430510148,0.012238411664974096,0.01628081415362858,0.024730076789834236,7,10,3.7564035060895336,0.9896518347846375,836,173,0.07351659705979763,0.6677584800326224,0.6504188731707211,5,COMPLETE,0.5
10,0.0038220711473996747,2024-10-17 23:38:24.944811,2024-10-17 23:38:45.968682,0 days 00:00:21.023871,1.5906529400694398e-06,1.0114256422258215e-06,0.5114855973335479,0.08432555243929771,0.0044787566253501965,0.042218456217059094,20,96,8.437157463242256,0.26645789271123443,947,280,0.4057796957709287,0.9797681241934512,0.5026257933014974,1,COMPLETE,0.5
11,0.004161954970405192,2024-10-17 23:38:45.968987,2024-10-17 23:38:51.157266,0 days 00:00:05.188279,0.004846425110865802,0.001423241746676209,0.9927059965375411,0.0032387744507840566,0.06742813488477475,0.053609476862040505,16,29,5.623697923158785,0.21712102722547305,803,23,0.6603742135869588,0.030381723832332952,0.9836192115041246,3,COMPLETE,0.5
