n_estimators,learning_rate,num_leaves,max_depth,min_child_samples,subsample,colsample_bytree,reg_alpha,reg_lambda,alpha,loss
684.0,0.0553879852798837,236.0,13.0,41.0,0.6682782280394886,0.9701333411599496,0.5187049617321361,0.5272568983634109,0.1,0.0017266679847108932
466.0,0.09016784886979266,192.0,20.0,64.0,0.8702582148404974,0.7471562653672318,0.027498581701675674,0.25466430071448054,0.2,0.002624149296299895
784.0,0.056258264737852344,298.0,16.0,10.0,0.6209341943973599,0.6324201733077832,0.6658926993057434,0.5299946577718173,0.3,0.003075740458819946
817.0,0.03891825570150882,132.0,15.0,35.0,0.7021175901679183,0.9370836450432729,0.18170745802323304,0.42649947506708624,0.4,0.003544517227455148
698.0,0.023249060305022003,268.0,20.0,19.0,0.7792596285437073,0.9125464142526756,0.38389782553833923,0.8458111337761129,0.5,0.0034770370293503066
742.0,0.06327949176103234,141.0,20.0,31.0,0.8450544389849513,0.7436210010700557,0.11782454049724356,0.34663142025583404,0.6,0.0034210570487065305
871.0,0.041856343842295696,247.0,18.0,5.0,0.8592403048185668,0.6907105886791812,0.7628960882728965,0.23614902191795895,0.7,0.003020226603483128
738.0,0.08730294405887985,140.0,15.0,18.0,0.7272481369307997,0.8535676606959903,0.7992271513540317,0.5751951277464497,0.8,0.002543803498440777
931.0,0.028067414652411624,255.0,11.0,43.0,0.7693162866871968,0.6282799177312551,0.7093646984278826,0.19487339637619017,0.9,0.0017333466759585675
