number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,state,alpha
0,0.0018541514222363163,2024-10-15 17:38:51.322143,2024-10-15 17:38:57.483944,0 days 00:00:06.161801,0.5740402684171194,0.044644072795676136,15,29,299,201,0.018277847235419697,0.086894073965326,0.7321948260631674,COMPLETE,0.1
1,0.0020138597727950855,2024-10-15 17:38:57.484190,2024-10-15 17:39:00.837741,0 days 00:00:03.353551,0.5096727248193333,0.04419419200233305,11,91,746,35,0.8559244986033098,0.532791534864426,0.986283948671052,COMPLETE,0.1
2,0.0017664613463772472,2024-10-15 17:39:00.837903,2024-10-15 17:39:20.650470,0 days 00:00:19.812567,0.5555021423622761,0.025369662721329456,20,25,946,200,0.831094113338772,0.31873126634654014,0.811923485471908,COMPLETE,0.1
3,0.0018113010162689454,2024-10-15 17:39:20.650638,2024-10-15 17:39:23.532635,0 days 00:00:02.881997,0.8788768756409211,0.06710728285699388,19,24,118,271,0.09273672037960734,0.22237834003073476,0.757058169605437,COMPLETE,0.1
4,0.0021659683480432053,2024-10-15 17:39:23.532789,2024-10-15 17:39:25.243952,0 days 00:00:01.711163,0.5174093257976442,0.014181003471687742,5,69,559,300,0.15879747567468117,0.8425074050216897,0.5064733755478852,COMPLETE,0.1
5,0.0020556359330762947,2024-10-15 17:39:25.244132,2024-10-15 17:39:26.318543,0 days 00:00:01.074411,0.7716707723748106,0.08599157807525923,5,97,413,234,0.8733869086170987,0.13507741493715308,0.9181005383282759,PRUNED,0.1
6,0.0019394984319195613,2024-10-15 17:39:26.318661,2024-10-15 17:39:32.312289,0 days 00:00:05.993628,0.8163287010427525,0.038079731339426146,11,20,851,57,0.01197956304042902,0.2027844680203854,0.7756845889626094,PRUNED,0.1
7,0.001811585766037611,2024-10-15 17:39:32.312407,2024-10-15 17:39:48.845399,0 days 00:00:16.532992,0.826742261814837,0.01563743530972286,17,9,604,285,0.7462830865516354,0.6138104445183101,0.9557082618954651,COMPLETE,0.1
8,0.00197974749555323,2024-10-15 17:39:48.845558,2024-10-15 17:39:52.351979,0 days 00:00:03.506421,0.7873681277799094,0.013515564326143755,10,77,400,96,0.42592808374956304,0.11127082903401453,0.7656082075534305,PRUNED,0.1
9,0.002077729747090037,2024-10-15 17:39:52.352882,2024-10-15 17:39:54.464570,0 days 00:00:02.111688,0.9141389709195762,0.04431141248564316,5,90,913,20,0.9468291779770994,0.1493080212534582,0.8943245290318329,PRUNED,0.1
10,0.0017477677737116001,2024-10-15 17:39:54.464675,2024-10-15 17:40:09.969304,0 days 00:00:15.504629,0.6547821112474047,0.024726395849265437,20,47,975,157,0.6237973478789633,0.39573683019591804,0.6244777310923171,COMPLETE,0.1
11,0.001753641166579548,2024-10-15 17:40:09.969466,2024-10-15 17:40:25.148664,0 days 00:00:15.179198,0.6491410628928197,0.025246890699843604,20,44,979,147,0.6271031285892212,0.38334200695148857,0.6064499446799655,COMPLETE,0.1
12,0.0018088324780164515,2024-10-15 17:40:25.148837,2024-10-15 17:40:35.471178,0 days 00:00:10.322341,0.6602185549389579,0.025203850602712567,15,48,754,129,0.5868662612637843,0.4021209573347908,0.5981657010671086,COMPLETE,0.1
