number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state,alpha
14,0.0019122440773213433,2024-10-26 15:51:53.512060,2024-10-26 15:52:00.717926,0 days 00:00:07.205866,0.457250915408859,0.0066841286602151995,8,855,0.10104608145315919,9.416571638771648,0.7465427496086553,PRUNED,0.1
15,0.0018760978100650606,2024-10-26 15:52:00.718145,2024-10-26 15:52:03.801971,0 days 00:00:03.083826,0.3121119974121148,0.04582903231312779,9,347,2.0529456698552044,7.053718648024908,0.6914289480123381,PRUNED,0.1
16,0.0017104825920303073,2024-10-26 15:52:03.802092,2024-10-26 15:52:09.181155,0 days 00:00:05.379063,0.815113135111058,0.023316312407903297,4,974,3.7161966629556153,8.330321130069507,0.4259107702084921,COMPLETE,0.1
17,0.0016464204713801808,2024-10-26 15:52:09.181539,2024-10-26 15:52:14.256928,0 days 00:00:05.075389,0.6251247298020749,0.05242440033493891,7,596,1.1298175810627717,4.792801213834139,0.8351264516642688,COMPLETE,0.1
18,0.0018720647357587286,2024-10-26 15:52:14.257290,2024-10-26 15:52:20.508855,0 days 00:00:06.251565,0.7153289500662833,0.02369389781225293,8,811,2.5502594222289328,6.366049131138259,0.41024083908595943,PRUNED,0.1
19,0.0016286377203733767,2024-10-26 15:52:20.508976,2024-10-26 15:52:28.662071,0 days 00:00:08.153095,0.5488605031352154,0.04513997171022729,7,998,1.020355006212335,8.770326584782785,0.6781006237031771,COMPLETE,0.1
0,0.002904497422507039,2024-10-26 15:52:38.748706,2024-10-26 15:52:43.670950,0 days 00:00:04.922244,0.5881248214669197,0.03129762097856641,7,591,7.625853374904278,1.6804652012660777,0.9591646994296426,COMPLETE,0.2
1,0.0032836979985406186,2024-10-26 15:52:43.671130,2024-10-26 15:52:50.394849,0 days 00:00:06.723719,0.4852597925388198,0.007570278035369596,7,940,9.416248953560515,3.3556754522746512,0.6166582676684168,COMPLETE,0.2
2,0.0031446440060091713,2024-10-26 15:52:50.395051,2024-10-26 15:52:53.715851,0 days 00:00:03.320800,0.7214794566735127,0.07609623888679948,8,465,7.318211612826438,7.224894534250507,0.5625426484226159,COMPLETE,0.2
3,0.002998152155217193,2024-10-26 15:52:53.716062,2024-10-26 15:52:58.756889,0 days 00:00:05.040827,0.281514423347633,0.08242960270703278,6,695,5.885494219402403,2.4111190315608617,0.8031119190133507,COMPLETE,0.2
4,0.0035017950436394387,2024-10-26 15:52:58.757063,2024-10-26 15:53:03.557080,0 days 00:00:04.800017,0.24826780346343558,0.02036595002444735,9,651,8.048156815215174,1.6934982686902793,0.3065024683346918,COMPLETE,0.2
5,0.0027236162579199474,2024-10-26 15:53:03.557254,2024-10-26 15:53:12.989752,0 days 00:00:09.432498,0.4843470442194166,0.02716054075769151,9,999,2.8128809871815537,3.67386046856994,0.579348141467945,COMPLETE,0.2
6,0.0027522742095608876,2024-10-26 15:53:12.990179,2024-10-26 15:53:16.712449,0 days 00:00:03.722270,0.7681133331361334,0.04972083590064402,3,669,0.21255620745065978,9.211288402848796,0.4686752239343009,COMPLETE,0.2
7,0.0033933239912016383,2024-10-26 15:53:16.712628,2024-10-26 15:53:21.848162,0 days 00:00:05.135534,0.2087350485282011,0.02963428934600905,8,631,5.750628258589335,1.244097325424209,0.7961351546276468,PRUNED,0.2
8,0.0025525481284136725,2024-10-26 15:53:21.848292,2024-10-26 15:53:24.339319,0 days 00:00:02.491027,0.866222023825586,0.08795757544059475,4,368,8.912424730448873,4.528424172519185,0.8635800132182878,COMPLETE,0.2
9,0.0032350463322605746,2024-10-26 15:53:24.339488,2024-10-26 15:53:29.191316,0 days 00:00:04.851828,0.2681551255811354,0.038965205075287376,8,610,8.028993954018768,1.29965687633762,0.6396373600437646,PRUNED,0.2
10,0.0027122212957669564,2024-10-26 15:53:29.191441,2024-10-26 15:53:30.216137,0 days 00:00:01.024696,0.9970020989975854,0.09837236051927666,3,140,3.419355847264421,5.992010030566558,0.9775268253742525,COMPLETE,0.2
11,0.0026860425052168363,2024-10-26 15:53:30.216305,2024-10-26 15:53:31.073576,0 days 00:00:00.857271,0.9748090891572335,0.0983282243240167,3,122,3.4769278465965336,5.879663182098771,0.9793503205163382,COMPLETE,0.2
12,0.002755795998392532,2024-10-26 15:53:31.073987,2024-10-26 15:53:31.804858,0 days 00:00:00.730871,0.9726930704556767,0.09943388991308533,4,101,3.0394826912248396,5.498674850154946,0.8257061876854952,COMPLETE,0.2
