number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state,alpha
0,0.0017877433781275502,2024-10-26 15:30:22.842591,2024-10-26 15:30:24.816338,0 days 00:00:01.973747,0.6324351815508846,0.09277951804498293,3,372,4.322793326614635,6.927429768691356,0.9762629290299524,COMPLETE,0.1
1,0.0017827205816030173,2024-10-26 15:30:24.816571,2024-10-26 15:30:25.720828,0 days 00:00:00.904257,0.852392639237538,0.09914733411403362,8,154,6.484445561647943,0.4328533832027941,0.6385264342607839,COMPLETE,0.1
2,0.0017533615796621017,2024-10-26 15:30:25.721039,2024-10-26 15:30:29.308143,0 days 00:00:03.587104,0.6127700610424065,0.0638623548836172,5,806,3.4409379486664964,6.082757135049072,0.4377040477783604,COMPLETE,0.1
3,0.0017434728090620667,2024-10-26 15:30:29.308360,2024-10-26 15:30:32.152022,0 days 00:00:02.843662,0.9142019209774593,0.05959526034340989,8,512,9.66045170469655,2.084986727903636,0.6941730176065257,COMPLETE,0.1
4,0.0017243751339618915,2024-10-26 15:30:32.152219,2024-10-26 15:30:34.580374,0 days 00:00:02.428155,0.6359481969527815,0.0812846857757747,6,567,8.832833251913286,5.160861389357148,0.375434980959282,COMPLETE,0.1
5,0.0018325248053680195,2024-10-26 15:30:34.580536,2024-10-26 15:30:35.095801,0 days 00:00:00.515265,0.6633893047154567,0.0721784966086422,5,101,6.053943187749628,3.5591390694469602,0.9811574306344197,PRUNED,0.1
6,0.0018893585608202933,2024-10-26 15:30:35.095919,2024-10-26 15:30:35.806481,0 days 00:00:00.710562,0.2846394957552536,0.097686650596792,3,211,5.145078136213596,1.89600467265599,0.264803616497353,PRUNED,0.1
7,0.00315974908447911,2024-10-26 15:30:35.806643,2024-10-26 15:30:39.366403,0 days 00:00:03.559760,0.6900569565945722,0.0024145742658341057,6,598,8.017475676558576,8.833458256676462,0.35237978963338634,PRUNED,0.1
8,0.0018933921970203055,2024-10-26 15:30:39.366589,2024-10-26 15:30:40.584504,0 days 00:00:01.217915,0.287407771124541,0.07080607627998607,9,157,5.028163469445376,4.495558154816177,0.8168285259220535,PRUNED,0.1
9,0.00182648763506822,2024-10-26 15:30:40.584620,2024-10-26 15:30:41.588097,0 days 00:00:01.003477,0.6365144817749786,0.05211658273869597,9,129,6.077868636329848,4.550492259103082,0.5342385608540594,PRUNED,0.1
10,0.0018130804033886288,2024-10-26 15:30:41.588225,2024-10-26 15:30:47.013155,0 days 00:00:05.424930,0.46443297453404286,0.03111900733386372,7,935,2.1522916564387824,9.966319389679644,0.2310135065584546,PRUNED,0.1
11,0.0017328842208622134,2024-10-26 15:30:47.013280,2024-10-26 15:30:50.672919,0 days 00:00:03.659639,0.988583274071146,0.045008279865151005,7,574,9.977764821843946,2.4327187553902436,0.7073314283242357,COMPLETE,0.1
