Quantile,RTCF_Mean_Error,RTCF_Mean_Error_Train,RTCF_MAE,RTCF_MAE_Train,RTCF_RMSE,RTCF_RMSE_Train,RTCF_Pinball_Loss,RTCF_Pinball_Loss_Train,RFCF_Mean_Error,RFCF_Mean_Error_Train,RFCF_MAE,RFCF_MAE_Train,RFCF_RMSE,RFCF_RMSE_Train,RFCF_Pinball_Loss,RFCF_Pinball_Loss_Train,RFCT_Mean_Error,RFCT_Mean_Error_Train,RFCT_MAE,RFCT_MAE_Train,RFCT_RMSE,RFCT_RMSE_Train,RFCT_Pinball_Loss,RFCT_Pinball_Loss_Train
10,89.851,116.941,129.879,131.145,185.287,180.711,28.999,18.796,123.696,145.328,158.37,157.897,222.858,220.215,29.707,20.817,99.16,124.772,135.878,137.008,190.987,186.925,28.275,18.595
20,44.857,72.962,103.779,99.713,162.31,146.707,38.432,27.968,61.697,79.881,116.254,116.016,176.31,174.438,39.618,34.044,50.417,77.846,106.477,101.964,164.341,148.939,38.113,27.628
30,12.896,42.64,93.41,86.03,156.065,132.852,44.126,34.487,26.3,45.592,101.55,98.772,163.898,158.602,45.515,40.267,18.677,47.375,94.233,85.589,155.057,130.485,43.381,33.32
40,-11.335,19.208,89.832,79.007,155.66,125.226,46.049,37.583,-1.926,17.892,96.303,89.866,161.283,151.098,48.344,43.144,-8.625,21.905,90.737,79.808,154.154,124.536,46.231,37.714
50,-34.541,-2.594,90.437,77.217,160.085,123.991,45.219,38.608,-28.667,-6.542,97.116,87.582,164.388,149.455,48.558,43.791,-35.167,-3.644,91.922,77.289,158.828,122.096,45.961,38.644
60,-57.27,-24.616,95.99,79.209,167.437,126.32,42.268,37.143,-53.964,-31.736,101.502,89.433,172.384,153.553,45.354,41.543,-60.706,-27.419,98.002,79.238,167.975,125.093,42.93,36.877
70,-82.57,-49.459,107.032,86.347,179.745,134.788,37.002,33.282,-81.656,-57.827,113.919,96.707,186.33,162.423,40.628,36.788,-88.43,-54.524,111.113,88.056,182.747,136.032,37.871,33.123
80,-113.043,-79.37,126.576,101.338,199.492,152.233,29.375,26.858,-115.181,-89.363,134.319,112.807,208.814,179.656,32.605,29.595,-115.645,-80.717,129.136,100.826,202.58,153.536,29.875,26.198
90,-156.875,-121.558,162.787,131.297,232.852,182.853,18.644,17.026,-162.655,-134.001,171.384,144.28,247.447,212.698,20.63,18.54,-158.009,-120.174,163.887,128.568,238.101,185.514,18.74,16.214
