Quantile,RTCF_Mean_Error,RFCF_Mean_Error,RFCT_Mean_Error,RTCF_Mean_Error_Train,RFCF_Mean_Error_Train,RFCT_Mean_Error_Train,RTCF_MAE,RFCF_MAE,RFCT_MAE,RTCF_MAE_Train,RFCF_MAE_Train,RFCT_MAE_Train,RTCF_RMSE,RFCF_RMSE,RFCT_RMSE,RTCF_RMSE_Train,RFCF_RMSE_Train,RFCT_RMSE_Train,RTCF_Pinball_Loss,RFCF_Pinball_Loss,RFCT_Pinball_Loss,RTCF_Pinball_Loss_Train,RFCF_Pinball_Loss_Train,RFCT_Pinball_Loss_Train
10,89.851,123.696,99.16,116.941,145.328,124.772,129.879,158.37,135.878,131.145,157.897,137.008,185.287,222.858,190.987,180.711,220.215,186.925,28.999,29.707,28.275,18.796,20.817,18.595
20,44.857,61.697,50.417,72.962,79.881,77.846,103.779,116.254,106.477,99.713,116.016,101.964,162.31,176.31,164.341,146.707,174.438,148.939,38.432,39.618,38.113,27.968,34.044,27.628
30,12.896,26.3,18.677,42.64,45.592,47.375,93.41,101.55,94.233,86.03,98.772,85.589,156.065,163.898,155.057,132.852,158.602,130.485,44.126,45.515,43.381,34.487,40.267,33.32
40,-11.335,-1.926,-8.625,19.208,17.892,21.905,89.832,96.303,90.737,79.007,89.866,79.808,155.66,161.283,154.154,125.226,151.098,124.536,46.049,48.344,46.231,37.583,43.144,37.714
50,-34.541,-28.667,-35.167,-2.594,-6.542,-3.644,90.437,97.116,91.922,77.217,87.582,77.289,160.085,164.388,158.828,123.991,149.455,122.096,45.219,48.558,45.961,38.608,43.791,38.644
60,-57.27,-53.964,-60.706,-24.616,-31.736,-27.419,95.99,101.502,98.002,79.209,89.433,79.238,167.437,172.384,167.975,126.32,153.553,125.093,42.268,45.354,42.93,37.143,41.543,36.877
70,-82.57,-81.656,-88.43,-49.459,-57.827,-54.524,107.032,113.919,111.113,86.347,96.707,88.056,179.745,186.33,182.747,134.788,162.423,136.032,37.002,40.628,37.871,33.282,36.788,33.123
80,-113.043,-115.181,-115.645,-79.37,-89.363,-80.717,126.576,134.319,129.136,101.338,112.807,100.826,199.492,208.814,202.58,152.233,179.656,153.536,29.375,32.605,29.875,26.858,29.595,26.198
90,-156.875,-162.655,-158.009,-121.558,-134.001,-120.174,162.787,171.384,163.887,131.297,144.28,128.568,232.852,247.447,238.101,182.853,212.698,185.514,18.644,20.63,18.74,17.026,18.54,16.214
