Quantile,RTCF_Mean_Error,RFCF_Mean_Error,RFCT_Mean_Error,RTCF_MAE,RFCF_MAE,RFCT_MAE,RTCF_RMSE,RFCF_RMSE,RFCT_RMSE,RTCF_Pinball_Loss,RFCF_Pinball_Loss,RFCT_Pinball_Loss
10,114.147,120.092,118.683,129.097,135.584,134.08,180.985,188.075,186.588,18.89,19.755,19.567
20,69.776,72.095,72.657,98.104,101.122,100.895,147.741,151.055,149.84,28.119,28.932,28.65
30,39.515,42.587,42.832,83.288,85.747,85.544,131.706,134.379,134.158,33.741,34.356,34.205
40,15.685,17.296,17.46,76.605,77.608,77.411,124.629,125.933,125.341,36.734,37.074,36.959
50,-5.782,-5.352,-4.917,73.757,75.152,74.668,123.106,124.131,123.372,36.878,37.576,37.334
60,-27.783,-28.319,-27.495,76.424,77.732,76.884,127.39,128.208,126.825,35.434,36.034,35.693
70,-51.389,-52.614,-51.127,84.274,85.458,84.317,137.119,138.416,136.986,31.859,32.206,31.933
80,-77.618,-79.813,-79.555,98.02,99.494,99.369,153.517,155.788,155.532,25.725,25.803,25.818
90,-113.707,-116.078,-115.655,123.127,125.185,124.592,182.01,185.194,184.727,16.081,16.161,16.034
