number,value,datetime_start,datetime_complete,duration,params_l2_regularization,params_learning_rate,params_max_depth,params_max_iter,params_min_samples_leaf,state,alpha
0,0.0033166941573530557,2024-10-26 15:51:11.429452,2024-10-26 15:51:11.542742,0 days 00:00:00.113290,0.007119899143505415,0.040001737234410424,9,321,8,COMPLETE,0.1
1,0.0033166941573530557,2024-10-26 15:51:11.542966,2024-10-26 15:51:11.648037,0 days 00:00:00.105071,0.7704602744699066,0.04207344537686145,11,399,35,COMPLETE,0.1
2,0.0033166941573530557,2024-10-26 15:51:11.648195,2024-10-26 15:51:11.750129,0 days 00:00:00.101934,0.13032493006273338,0.024512744680909353,4,373,21,COMPLETE,0.1
3,0.0033166941573530557,2024-10-26 15:51:11.750278,2024-10-26 15:51:11.856272,0 days 00:00:00.105994,0.3895697943231169,0.031911327138424386,5,634,24,COMPLETE,0.1
4,0.0033166941573530557,2024-10-26 15:51:11.856433,2024-10-26 15:51:11.965108,0 days 00:00:00.108675,0.0458110284186527,0.030819852471344663,5,151,16,COMPLETE,0.1
5,0.0033166941573530557,2024-10-26 15:51:11.965265,2024-10-26 15:51:12.076490,0 days 00:00:00.111225,0.6057098220166797,0.02425027282644466,9,103,39,COMPLETE,0.1
6,0.0033166941573530557,2024-10-26 15:51:12.076679,2024-10-26 15:51:12.186326,0 days 00:00:00.109647,0.643835135744441,0.037011489810342774,17,800,22,COMPLETE,0.1
7,0.0033166941573530557,2024-10-26 15:51:12.186486,2024-10-26 15:51:12.298127,0 days 00:00:00.111641,0.26681713198850854,0.012313485670580753,11,153,2,COMPLETE,0.1
8,0.0033166941573530557,2024-10-26 15:51:12.298289,2024-10-26 15:51:12.402150,0 days 00:00:00.103861,0.8122823294355394,0.02062030208018562,7,727,37,COMPLETE,0.1
9,0.0033166941573530557,2024-10-26 15:51:12.402377,2024-10-26 15:51:12.501768,0 days 00:00:00.099391,0.1548025417854536,0.06241113152507801,7,991,16,COMPLETE,0.1
10,0.0033166941573530557,2024-10-26 15:51:12.501919,2024-10-26 15:51:12.613399,0 days 00:00:00.111480,0.4042692000187819,0.09504481911741534,16,408,2,COMPLETE,0.1
11,0.0033166941573530557,2024-10-26 15:51:12.613565,2024-10-26 15:51:12.723468,0 days 00:00:00.109903,0.9897956943420474,0.050877272743378804,13,393,31,COMPLETE,0.1
12,0.0033166941573530557,2024-10-26 15:51:12.723620,2024-10-26 15:51:12.870439,0 days 00:00:00.146819,0.7622536141757658,0.05159442726291581,13,286,8,COMPLETE,0.1
13,0.0033166941573530557,2024-10-26 15:51:12.870604,2024-10-26 15:51:12.992348,0 days 00:00:00.121744,0.9365995641004556,0.09342323136865141,20,537,29,COMPLETE,0.1
14,0.0033166941573530557,2024-10-26 15:51:12.992718,2024-10-26 15:51:13.115565,0 days 00:00:00.122847,0.5379371835616966,0.014964428278016504,10,519,10,COMPLETE,0.1
15,0.0033166941573530557,2024-10-26 15:51:13.115720,2024-10-26 15:51:13.222568,0 days 00:00:00.106848,0.7230024083868234,0.04229385225956827,14,271,31,COMPLETE,0.1
16,0.0033166941573530557,2024-10-26 15:51:13.222728,2024-10-26 15:51:13.341976,0 days 00:00:00.119248,0.4308771425445463,0.06746998413766926,8,273,11,COMPLETE,0.1
17,0.0033166941573530557,2024-10-26 15:51:13.342399,2024-10-26 15:51:13.456774,0 days 00:00:00.114375,0.8426697723191551,0.017775459457709652,11,466,16,COMPLETE,0.1
18,0.0033166941573530557,2024-10-26 15:51:13.456926,2024-10-26 15:51:13.569454,0 days 00:00:00.112528,0.2776718152313088,0.06833741426610815,15,636,26,COMPLETE,0.1
19,0.0033166941573530557,2024-10-26 15:51:13.569682,2024-10-26 15:51:13.681043,0 days 00:00:00.111361,0.01137705378942556,0.04772006561094399,18,330,35,COMPLETE,0.1
0,0.0066333883147061115,2024-10-26 15:51:13.786836,2024-10-26 15:51:13.893338,0 days 00:00:00.106502,0.9122962802989473,0.03632810539811579,15,591,15,COMPLETE,0.2
1,0.0066333883147061115,2024-10-26 15:51:13.893518,2024-10-26 15:51:14.000386,0 days 00:00:00.106868,0.20233585525565856,0.010132186878705571,16,922,7,COMPLETE,0.2
2,0.0066333883147061115,2024-10-26 15:51:14.000535,2024-10-26 15:51:14.108797,0 days 00:00:00.108262,0.8412837272023505,0.02453369288124189,20,238,14,COMPLETE,0.2
3,0.0066333883147061115,2024-10-26 15:51:14.109138,2024-10-26 15:51:14.246514,0 days 00:00:00.137376,0.41145507625079636,0.010611902873217605,12,127,13,COMPLETE,0.2
4,0.0066333883147061115,2024-10-26 15:51:14.246876,2024-10-26 15:51:14.357918,0 days 00:00:00.111042,0.4571928492483055,0.08550416844585902,17,383,9,COMPLETE,0.2
5,0.0066333883147061115,2024-10-26 15:51:14.358078,2024-10-26 15:51:14.469502,0 days 00:00:00.111424,0.6396226223604811,0.02314653711831882,18,347,14,COMPLETE,0.2
6,0.0066333883147061115,2024-10-26 15:51:14.469660,2024-10-26 15:51:14.578216,0 days 00:00:00.108556,0.5059942386894621,0.036559733675626774,5,116,17,COMPLETE,0.2
7,0.0066333883147061115,2024-10-26 15:51:14.578611,2024-10-26 15:51:14.683943,0 days 00:00:00.105332,0.604096142456137,0.011427796050753468,10,443,19,COMPLETE,0.2
8,0.0066333883147061115,2024-10-26 15:51:14.684331,2024-10-26 15:51:14.795155,0 days 00:00:00.110824,0.3255862973387329,0.08771565357293652,15,827,21,COMPLETE,0.2
9,0.0066333883147061115,2024-10-26 15:51:14.795452,2024-10-26 15:51:14.911539,0 days 00:00:00.116087,0.29708950650330024,0.012579196634734668,18,521,34,COMPLETE,0.2
10,0.0066333883147061115,2024-10-26 15:51:14.911888,2024-10-26 15:51:15.076206,0 days 00:00:00.164318,0.9932852974931334,0.04765476681344386,8,712,29,COMPLETE,0.2
11,0.0066333883147061115,2024-10-26 15:51:15.076357,2024-10-26 15:51:15.184992,0 days 00:00:00.108635,0.034991554973730715,0.017991466815197782,14,984,1,COMPLETE,0.2
12,0.0066333883147061115,2024-10-26 15:51:15.185145,2024-10-26 15:51:15.301835,0 days 00:00:00.116690,0.10145483999955547,0.0525901688448053,14,667,3,COMPLETE,0.2
13,0.0066333883147061115,2024-10-26 15:51:15.302008,2024-10-26 15:51:15.408168,0 days 00:00:00.106160,0.18204408016363857,0.03365956929211066,11,984,7,COMPLETE,0.2
14,0.0066333883147061115,2024-10-26 15:51:15.408509,2024-10-26 15:51:15.537404,0 days 00:00:00.128895,0.8733633520192206,0.016758347598746056,16,808,25,COMPLETE,0.2
15,0.0066333883147061115,2024-10-26 15:51:15.537579,2024-10-26 15:51:15.660856,0 days 00:00:00.123277,0.7181810378497964,0.05580068245837024,20,614,40,COMPLETE,0.2
