number,value,datetime_start,datetime_complete,duration,params_alpha,params_colsample_bytree,params_l1_ratio,params_learning_rate,params_max_depth,params_min_child_samples,params_min_child_weight,params_min_split_gain,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,params_subsample_freq,state,quantile
1,0.016301856841574754,2024-10-17 19:56:37.608171,2024-10-17 19:56:41.283064,0 days 00:00:03.674893,0.0035333242677883423,0.6248697584269145,0.1439428674267994,0.022987821349594765,5,29,7.315553587507589,0.46935168160546326,994,259,0.22518883446526305,0.19423745630935518,0.8499151198082999,4,COMPLETE,0.2
2,0.009117535386556755,2024-10-17 19:56:41.283296,2024-10-17 19:56:43.294888,0 days 00:00:02.011592,0.0010379541037512099,0.5475154307890142,0.5415885183488305,0.09311534019085407,18,28,7.08904991877765,0.8958302993332512,436,201,0.6793366785676198,0.4673440614564668,0.7113110663533193,10,COMPLETE,0.2
3,0.011435808172429441,2024-10-17 19:56:43.295119,2024-10-17 19:56:45.970002,0 days 00:00:02.674883,0.0016893911505278126,0.5110801573696437,0.04046494707265358,0.018188014588533214,8,6,9.503661874835622,0.5284268160183853,242,117,0.41983208224435276,0.23286562647377262,0.8277646180420142,9,COMPLETE,0.2
4,0.03385667441440861,2024-10-17 19:56:45.970243,2024-10-17 19:56:48.123959,0 days 00:00:02.153716,0.4203661315115052,0.8715697973183033,0.08164536641471809,0.08282889411855938,8,34,6.03055859349738,0.7553048384054271,647,196,0.9233602459366429,0.4616709448172429,0.8938497159074513,10,COMPLETE,0.2
5,0.03385667441440861,2024-10-17 19:56:48.124205,2024-10-17 19:56:51.054055,0 days 00:00:02.929850,0.05600796496838573,0.7462397656261296,0.7098873174881263,0.027904319258659247,5,80,9.908945719758384,0.06490158582456218,867,256,0.6180252089585873,0.3199906200955098,0.9581972437993076,9,COMPLETE,0.2
6,0.033126811961261306,2024-10-17 19:56:51.054287,2024-10-17 19:56:52.852568,0 days 00:00:01.798281,0.008949767781042626,0.8350256794998607,0.6302188147789799,0.010401268223720454,4,35,6.3921411556231496,0.3116292833132889,713,127,0.2118839016321291,0.6780288835028647,0.8506205650057954,10,COMPLETE,0.2
7,0.012369022635794744,2024-10-17 19:56:52.852804,2024-10-17 19:56:57.365520,0 days 00:00:04.512716,0.0019055274227896225,0.6005080438910173,0.8502097535880712,0.04878012478882656,11,43,0.7422782047897919,0.44456526401740526,729,86,0.7224876987827221,0.8786686491771336,0.5608117023586436,3,COMPLETE,0.2
8,0.03385667441440861,2024-10-17 19:56:57.365758,2024-10-17 19:56:58.432884,0 days 00:00:01.067126,0.031019790506480727,0.6864152459703907,0.515215784251445,0.012634623533316482,5,11,4.880226094772103,0.3011794592721482,254,226,0.7913028223483725,0.5817591490978815,0.9886820285917925,7,COMPLETE,0.2
9,0.03385667441440861,2024-10-17 19:56:58.433113,2024-10-17 19:57:02.010022,0 days 00:00:03.576909,0.011017196116450936,0.7440661672128476,0.8591282021331134,0.014137816991573857,6,19,9.380995982250449,0.7598841596642347,893,207,0.7590928119043024,0.9080917729197862,0.5121254086116556,7,COMPLETE,0.2
10,0.005494268261205222,2024-10-17 19:57:02.010263,2024-10-17 19:57:03.342551,0 days 00:00:01.332288,0.00010515562163961646,0.9749336638967825,0.34191000192853616,0.09438100664915333,19,65,2.4774856060402266,0.9024156900579113,431,30,0.4452414606250664,0.07783868301337282,0.6692659659639396,2,COMPLETE,0.2
11,0.005472090839934027,2024-10-17 19:57:03.342823,2024-10-17 19:57:04.445830,0 days 00:00:01.103007,0.00010063116180281776,0.9903912532093726,0.32614066016715904,0.09801928937607243,19,64,2.1706276248562264,0.9651188969076404,433,23,0.48531221112827083,0.008546108201378355,0.680576688672499,1,COMPLETE,0.2
12,0.0056246646228746994,2024-10-17 19:57:04.446205,2024-10-17 19:57:05.468799,0 days 00:00:01.022594,0.00012210677710851084,0.9778044796304695,0.3054971764813023,0.06501542758336011,15,66,1.875110232637025,0.9937551565746391,384,21,0.44794720483901257,0.012504113506368209,0.6781415752778314,1,COMPLETE,0.2
13,0.0054631518786286805,2024-10-17 19:57:05.469036,2024-10-17 19:57:05.872389,0 days 00:00:00.403353,0.00010497347694152348,0.9920239976023618,0.3033473669701993,0.0600659713683953,15,59,2.7429759813661967,0.7941811085248583,116,21,0.36186113350956034,0.0033365313176577163,0.6174463713387446,1,COMPLETE,0.2
14,0.005858147818869817,2024-10-17 19:57:05.872624,2024-10-17 19:57:06.650653,0 days 00:00:00.778029,0.0002444404319502179,0.8851251269137507,0.307485864077745,0.05997411593423906,15,59,3.6604940419353715,0.7272218227420462,115,71,0.3216608075947276,0.10838444259313179,0.6070873874950046,1,COMPLETE,0.2
15,0.006646969533714063,2024-10-17 19:57:06.650886,2024-10-17 19:57:07.316655,0 days 00:00:00.665769,0.0004076332125390408,0.9237777385499657,0.20220251266791592,0.06586331855905071,16,78,3.391910172734105,0.9894688625649943,138,60,0.007077944192687813,0.010414883293459335,0.6203963375656903,3,COMPLETE,0.2
16,0.006608563402308397,2024-10-17 19:57:07.316892,2024-10-17 19:57:09.524225,0 days 00:00:02.207333,0.00045733848690306746,0.931326297501497,0.3899869736105051,0.03747411082277084,13,49,0.511522979411787,0.6652910615884844,303,147,0.5509149620427062,0.1884958603033649,0.7708652428853094,2,COMPLETE,0.2
17,0.03385667441440861,2024-10-17 19:57:09.524463,2024-10-17 19:57:11.558108,0 days 00:00:02.033645,0.4740140020869772,0.8141098307579179,0.4117482346369491,0.04929644518242444,12,76,1.8088204475563243,0.8349338950490729,565,46,0.3422751924541503,0.7732088716409651,0.7364061109759976,1,COMPLETE,0.2
18,0.006918494307883017,2024-10-17 19:57:11.558366,2024-10-17 19:57:13.078950,0 days 00:00:01.520584,0.0004924995301257991,0.977164841010919,0.24997203488549552,0.07948612940490435,17,96,4.2465684834059765,0.8596060499562159,554,99,0.05004977508192354,0.31598070157414876,0.6272439397149823,6,COMPLETE,0.2
19,0.03385667441440861,2024-10-17 19:57:13.079281,2024-10-17 19:57:14.889379,0 days 00:00:01.810098,0.14751728085129756,0.7982957458968394,0.46615571106181625,0.05139576217515737,14,49,2.7373003386994705,0.6341872691591792,335,160,0.5893683103702081,0.13175295809064863,0.5182990253769202,3,COMPLETE,0.2
0,0.03253649120076243,2024-10-17 19:57:18.073157,2024-10-17 19:57:21.388175,0 days 00:00:03.315018,0.8356149859439727,0.818011416691516,0.4027558230733309,0.015817069940704965,4,60,3.147719436936811,0.5184045687008701,888,49,0.34522889107111454,0.07817368100903144,0.8075389242565374,5,COMPLETE,0.3
1,0.005585305677317154,2024-10-17 19:57:21.388438,2024-10-17 19:57:25.878076,0 days 00:00:04.489638,0.00027699602344928364,0.7763532698320772,0.10609880847585162,0.06306567237207522,7,54,9.44460446150601,0.8510827484061121,829,59,0.7750208559367898,0.9402300466364634,0.6115275067273321,2,COMPLETE,0.3
2,0.005134447567457783,2024-10-17 19:57:25.878366,2024-10-17 19:57:51.239639,0 days 00:00:25.361273,0.00023036771166445888,0.7001981777059005,0.27510886209321483,0.01629044545167039,12,25,2.3284738031395786,0.2733732559374582,676,284,0.19318141986065906,0.36417485918681414,0.902967808417282,8,COMPLETE,0.3
3,0.005952324218466316,2024-10-17 19:57:51.239977,2024-10-17 19:57:51.768779,0 days 00:00:00.528802,0.0003172739416592071,0.5076184750445856,0.4870464809364201,0.013113436897737678,4,27,6.4711793758524125,0.6044625633585136,133,155,0.17463270218581317,0.6208311678768017,0.7214041722813812,5,COMPLETE,0.3
4,0.03253649120076243,2024-10-17 19:57:51.769135,2024-10-17 19:58:00.427938,0 days 00:00:08.658803,0.7933973814504899,0.9222445163095608,0.017115010592605673,0.0209303088262155,12,68,8.375185194117178,0.5130272604438898,925,276,0.6845053979452164,0.7336711905684413,0.8696786688693603,7,COMPLETE,0.3
5,0.005281413689539017,2024-10-17 19:58:00.428217,2024-10-17 19:58:05.199891,0 days 00:00:04.771674,0.0002576653503240982,0.9193487958712431,0.742862516208192,0.05354358406434477,11,53,5.283207217742967,0.7828313740167844,887,132,0.4259814712809681,0.47945473842219477,0.9031482150377149,8,COMPLETE,0.3
6,0.005638858246975904,2024-10-17 19:58:05.200175,2024-10-17 19:58:14.318744,0 days 00:00:09.118569,0.00040903429499449385,0.712429528310329,0.011539508135445242,0.025292066405308917,20,94,6.453635124628186,0.41452914491562654,550,245,0.14352572187973767,0.5810013877754099,0.5399338226284043,6,COMPLETE,0.3
7,0.005706303714117338,2024-10-17 19:58:14.319022,2024-10-17 19:58:16.186399,0 days 00:00:01.867377,0.0003962713155761484,0.9192672905556499,0.5704116609359599,0.02566000792327376,16,82,7.805400943405664,0.9924968120476824,166,155,0.09154070117557711,0.13613737747164445,0.5760984010412794,9,COMPLETE,0.3
8,0.03253649120076243,2024-10-17 19:58:16.186683,2024-10-17 19:58:17.380934,0 days 00:00:01.194251,0.03433691973707425,0.8402815007230069,0.8842660489643038,0.017846684557246268,3,94,5.061174115140575,0.5115551680399497,448,132,0.8080064820411305,0.9454496704029804,0.9995564999968205,2,COMPLETE,0.3
9,0.03253649120076243,2024-10-17 19:58:17.381186,2024-10-17 19:58:35.418629,0 days 00:00:18.037443,0.02454212870950198,0.9849520480921219,0.746368115725709,0.011068598466812232,15,49,9.634625824683097,0.3911192298227192,850,147,0.5965440973897512,0.5474470830856841,0.746517787223599,3,COMPLETE,0.3
10,0.010558652723319406,2024-10-17 19:58:35.418928,2024-10-17 19:58:53.314917,0 days 00:00:17.895989,0.0019636289055774744,0.6555774890462305,0.2577339422627168,0.040151449356055295,9,12,0.2168818879563359,0.06148278353530684,658,222,0.9703035143146749,0.364682790832649,0.9869648539898208,10,COMPLETE,0.3
11,0.01480088199528463,2024-10-17 19:58:53.315212,2024-10-17 19:59:05.408567,0 days 00:00:12.093355,0.003163837378678186,0.5918614270303924,0.6726302324175517,0.09955244026462844,12,32,2.60172031333475,0.1876758042304789,689,90,0.42441569126741,0.33054200319318083,0.8883408558567711,8,COMPLETE,0.3
12,0.004865611857236923,2024-10-17 19:59:05.408993,2024-10-17 19:59:11.959546,0 days 00:00:06.550553,0.00011728843046554364,0.6980990254959576,0.9323502104209299,0.04056244332391938,9,34,2.739733131769783,0.7647079487015638,707,207,0.3107322032326882,0.3218830945886385,0.8903446190059386,8,COMPLETE,0.3
13,0.0048156678408525794,2024-10-17 19:59:11.959832,2024-10-17 19:59:17.630668,0 days 00:00:05.670836,0.00010196215804018936,0.6787624286838512,0.9995320640979896,0.037071611261536776,7,5,2.3186460339464072,0.24589715239886806,398,286,0.27070623007521655,0.30741066934545924,0.8062536758940995,10,COMPLETE,0.3
14,0.004868755318990751,2024-10-17 19:59:17.630943,2024-10-17 19:59:21.642493,0 days 00:00:04.011550,0.00010982161736939654,0.6122832266556709,0.9905654568867474,0.03909686930172326,7,6,0.8273056925342157,0.6975501642944192,350,200,0.2995690085668798,0.2497034661946117,0.6811703927851971,10,COMPLETE,0.3
15,0.010262567076867122,2024-10-17 19:59:21.642761,2024-10-17 19:59:25.674425,0 days 00:00:04.031664,0.00159265817308587,0.5376968088172485,0.9996402025952154,0.05925509120447268,7,36,3.7323415062951764,0.08395708582750494,347,197,0.28045412421324295,0.005471683711206654,0.811171390630484,10,COMPLETE,0.3
16,0.03253649120076243,2024-10-17 19:59:25.674691,2024-10-17 19:59:36.583093,0 days 00:00:10.908402,0.15717646518567172,0.7401678197441399,0.8727603829199116,0.03567975328138244,9,16,1.097488269015193,0.27710007475068693,510,297,0.5375133616916393,0.18933431095709466,0.8155634834922216,7,COMPLETE,0.3
17,0.004906630541969467,2024-10-17 19:59:36.583571,2024-10-17 19:59:39.209746,0 days 00:00:02.626175,0.00010222037977350509,0.6441592311138737,0.8628722388980404,0.08121295058183298,9,45,3.7543195441325077,0.9165684649455114,300,246,0.06344913290966114,0.4509454011887104,0.9445069051406845,9,COMPLETE,0.3
18,0.024608673648179,2024-10-17 19:59:39.210029,2024-10-17 19:59:45.116116,0 days 00:00:05.906087,0.0065565423756725446,0.8052072748279533,0.6345751773186403,0.04710365357332795,6,20,1.8868575831636185,0.6780019807926695,755,192,0.027499274712867228,0.7211516826613372,0.6592345878773581,4,COMPLETE,0.3
19,0.00746154490240544,2024-10-17 19:59:45.116382,2024-10-17 20:00:01.507666,0 days 00:00:16.391284,0.00093433019898849,0.6883336620138589,0.802213358051176,0.028221489487219996,14,38,4.119284843535071,0.35398885159490684,581,255,0.4219495730371837,0.2550074201806944,0.7913463000383942,9,COMPLETE,0.3
0,0.031216307987116245,2024-10-17 20:00:36.943567,2024-10-17 20:00:38.030455,0 days 00:00:01.086888,0.03090913966257176,0.8041235871152379,0.8789122041671507,0.06631010924247589,20,26,6.730742506451157,0.7464587823736151,131,58,0.43862634221712404,0.7515307478609282,0.7753962729056161,10,COMPLETE,0.4
1,0.004976239873270551,2024-10-17 20:00:38.030697,2024-10-17 20:00:43.824211,0 days 00:00:05.793514,0.0003126666668273233,0.7978780232509314,0.37109638940975376,0.02648193048973186,16,78,2.1335587262220588,0.3221328057584052,428,213,0.46346878947708414,0.48654690723639404,0.5716434069150684,2,COMPLETE,0.4
2,0.019198519272032626,2024-10-17 20:00:43.824453,2024-10-17 20:00:52.170481,0 days 00:00:08.346028,0.007065620651229561,0.8527323690383746,0.27399981392036876,0.07469772082321757,11,34,7.471392379933965,0.04221044857069922,602,220,0.8642812666373461,0.6109615774708362,0.8559198346685817,10,COMPLETE,0.4
3,0.031216307987116245,2024-10-17 20:00:52.170715,2024-10-17 20:00:57.479404,0 days 00:00:05.308689,0.014789463138258062,0.5237271001558232,0.8567035254920086,0.012931413432487557,14,93,8.60987849787882,0.8906888345108177,593,292,0.6497277501489667,0.15864503622044235,0.8377888220796612,1,COMPLETE,0.4
4,0.005754758950968875,2024-10-17 20:00:57.479648,2024-10-17 20:01:04.341464,0 days 00:00:06.861816,0.0005482694679658454,0.613370263093663,0.8339141983206665,0.02668341235222274,19,11,0.6691518503817176,0.1774694676373021,343,154,0.5664301740250065,0.5789818320873295,0.8547762659836282,10,COMPLETE,0.4
5,0.031216307987116245,2024-10-17 20:01:04.341700,2024-10-17 20:01:08.431041,0 days 00:00:04.089341,0.07913701195336736,0.5443939386646918,0.6683842570441235,0.026383137855848986,11,55,0.20518535189304024,0.376780505178982,405,144,0.7884201785238532,0.25586900736131124,0.5042652359012691,1,COMPLETE,0.4
6,0.004955263591496157,2024-10-17 20:01:08.431288,2024-10-17 20:01:11.129912,0 days 00:00:02.698624,0.00026564269659643414,0.9122177204502391,0.2516218055051226,0.043591195717774756,11,50,0.44244776343447073,0.056115659821467045,277,126,0.14006308705486548,0.7012213686527559,0.5201525479627729,7,COMPLETE,0.4
7,0.014883785512939847,2024-10-17 20:01:11.130149,2024-10-17 20:01:16.942284,0 days 00:00:05.812135,0.005241947077106838,0.9611582499697114,0.0176423524269943,0.08454844229330731,13,44,4.075819885465183,0.41471040487191535,629,299,0.13372757714942618,0.8542867563401262,0.532303342292646,8,COMPLETE,0.4
8,0.004717160376266292,2024-10-17 20:01:16.942541,2024-10-17 20:01:24.503400,0 days 00:00:07.560859,0.00019782429015382198,0.6978502037397493,0.6053874275006896,0.06904320760975172,20,26,7.833374517970845,0.50882101247123,557,283,0.47303753469428245,0.847538852139101,0.5779095226997853,4,COMPLETE,0.4
9,0.010571654428611375,2024-10-17 20:01:24.503641,2024-10-17 20:01:28.885708,0 days 00:00:04.382067,0.002304516116895095,0.7621561620871335,0.3273897444730718,0.04014919454596111,7,60,6.4115838112144194,0.3142873106280931,908,75,0.8096969224282453,0.9510211842067846,0.5264826972035543,4,COMPLETE,0.4
10,0.031216307987116245,2024-10-17 20:01:28.885954,2024-10-17 20:01:30.280341,0 days 00:00:01.394387,0.4808017156560113,0.6663483229054946,0.6022915196768455,0.01576595285869598,3,8,9.433320120666172,0.6173377566739106,869,221,0.2542161571475774,0.37983936315722655,0.6593311720613932,4,COMPLETE,0.4
11,0.004542875010202684,2024-10-17 20:01:30.280587,2024-10-17 20:01:31.786408,0 days 00:00:01.505821,0.00011406831640268704,0.9789177948330717,0.10787457013994384,0.04562637977937578,8,25,3.805802513725757,0.5698309915259053,163,110,0.030369942677145656,0.7513102620774291,0.9890559956689218,7,COMPLETE,0.4
12,0.004646791164784967,2024-10-17 20:01:31.786648,2024-10-17 20:01:36.174656,0 days 00:00:04.388008,0.00010969891111948008,0.6837303939897988,0.03793217573764937,0.05269460232233154,7,23,4.159728298512833,0.6061601402634983,740,108,0.008276727982721166,0.9604982416046307,0.9673203502912827,6,COMPLETE,0.4
13,0.008296217684043525,2024-10-17 20:01:36.174952,2024-10-17 20:01:39.417282,0 days 00:00:03.242330,0.0014642511374340001,0.9939842395959497,0.01696019179843209,0.04747122975383483,7,19,4.256012343139582,0.6397798230263968,773,86,0.030551487507944466,0.9951165758657903,0.994596016647473,7,COMPLETE,0.4
14,0.004574417260967772,2024-10-17 20:01:39.417536,2024-10-17 20:01:42.723301,0 days 00:00:03.305765,0.00012425349595427117,0.6948362145673584,0.13770450984953364,0.051971370052192066,7,37,2.9776979019161653,0.862187475263816,722,108,0.2922028181253352,0.8154050854263533,0.975903791885789,6,COMPLETE,0.4
15,0.007549740910834568,2024-10-17 20:01:42.723562,2024-10-17 20:01:43.028008,0 days 00:00:00.304446,0.0009951152469735956,0.8823278258785139,0.16506491918363672,0.03436996937754846,4,39,2.557973682993042,0.9724751925103936,101,177,0.25632721878000353,0.008487200687132379,0.9336732954895773,8,COMPLETE,0.4
16,0.004588546443156546,2024-10-17 20:01:43.028255,2024-10-17 20:01:47.368427,0 days 00:00:04.340172,0.0001170563149065504,0.610665683393059,0.4671071971261646,0.020098134283456037,9,73,2.573599347764824,0.8393753276732137,988,27,0.3288747601924108,0.761762471263878,0.9118144245611763,5,COMPLETE,0.4
17,0.00613171294437138,2024-10-17 20:01:47.368669,2024-10-17 20:01:48.174342,0 days 00:00:00.805673,0.0006118752777719626,0.7398948057531641,0.16925157402755536,0.09621573529430968,5,34,5.455338113867837,0.7717675136702699,237,23,0.9986390601935035,0.6354768080447969,0.7429236170798748,6,COMPLETE,0.4
18,0.031216307987116245,2024-10-17 20:01:48.174592,2024-10-17 20:01:50.966724,0 days 00:00:02.792132,0.9332757677534184,0.8394892582623822,0.13963898477613532,0.05673838218782322,9,70,3.2353801590949325,0.9758324967176462,747,180,0.13427319390401563,0.46915252818964853,0.9126040028577137,8,COMPLETE,0.4
19,0.010009168284547705,2024-10-17 20:01:50.966971,2024-10-17 20:01:54.192837,0 days 00:00:03.225866,0.0019648791863477386,0.9178545268023034,0.42752813731763895,0.036166405119459774,9,16,1.5024435244197392,0.7193306678828736,457,107,0.3211247169699201,0.8422936891443376,0.7741261941653996,5,COMPLETE,0.4
0,0.007352170591224693,2024-10-17 20:02:04.265375,2024-10-17 20:02:08.589125,0 days 00:00:04.323750,0.001350864064616209,0.8354197408896489,0.37881567504021296,0.0869957053316437,9,97,9.882877443647532,0.19494274348005658,845,69,0.2981805478352755,0.22995283665507393,0.5204904526953761,1,COMPLETE,0.5
1,0.02989612477347006,2024-10-17 20:02:08.589361,2024-10-17 20:02:11.292971,0 days 00:00:02.703610,0.07119963806379057,0.775815792717597,0.615715888891858,0.047511173270032576,6,76,1.3037408292119628,0.6078341714681185,793,90,0.5270536330390944,0.1627935614734639,0.5469245257410946,3,COMPLETE,0.5
2,0.02989612477347006,2024-10-17 20:02:11.293211,2024-10-17 20:02:13.616721,0 days 00:00:02.323510,0.4284990824328461,0.7400909978658103,0.8211075926463982,0.069127226522677,6,84,0.023964555374679813,0.9094667204138697,708,56,0.1797593055709591,0.7159851288994753,0.882492584026447,2,COMPLETE,0.5
3,0.02989612477347006,2024-10-17 20:02:13.616976,2024-10-17 20:02:20.178537,0 days 00:00:06.561561,0.06942299525480157,0.5369709810653206,0.5765609756442471,0.01052465895354997,10,19,5.453947881479507,0.37746980505301886,525,114,0.38635922837670567,0.08286240046654159,0.8989694148277274,1,COMPLETE,0.5
4,0.02989612477347006,2024-10-17 20:02:20.178789,2024-10-17 20:02:21.787731,0 days 00:00:01.608942,0.010750768395689612,0.9525820795471689,0.7365873023459618,0.015018357406630847,19,91,2.54143530384335,0.6031115398389271,170,178,0.1902517690717369,0.98373028675401,0.5241452389762258,8,COMPLETE,0.5
5,0.02989612477347006,2024-10-17 20:02:21.787975,2024-10-17 20:02:23.054899,0 days 00:00:01.266924,0.11745124398204776,0.6914655459458459,0.6727023855719719,0.05443276893578625,4,17,6.346025688750089,0.38870682172102944,563,36,0.5511656588772025,0.4224643811860783,0.5355469998682529,4,COMPLETE,0.5
6,0.01250671441814369,2024-10-17 20:02:23.055133,2024-10-17 20:02:27.750173,0 days 00:00:04.695040,0.004070673335971303,0.7793877026120776,0.020183796466219373,0.015049225547276028,10,59,9.730900853618552,0.9106030235332756,698,228,0.9555752895926114,0.48673701846913986,0.8478363923013474,4,COMPLETE,0.5
