n_estimators,learning_rate,num_leaves,max_depth,min_child_samples,subsample,colsample_bytree,reg_alpha,reg_lambda,min_split_gain,min_child_weight,subsample_freq,alpha,l1_ratio,quantile,loss
676.0,0.03882193072987235,68.0,11.0,34.0,0.5665284749548261,0.7155668647438652,0.23301340846359353,0.8199413206269862,0.06965334486129027,7.711005300795174,8.0,0.00013750669133034998,0.4098593249860738,0.1,0.005872369032245097
116.0,0.0600659713683953,21.0,15.0,59.0,0.6174463713387446,0.9920239976023618,0.36186113350956034,0.0033365313176577163,0.7941811085248583,2.7429759813661967,1.0,0.00010497347694152348,0.3033473669701993,0.2,0.0054631518786286805
398.0,0.037071611261536776,286.0,7.0,5.0,0.8062536758940995,0.6787624286838512,0.27070623007521655,0.30741066934545924,0.24589715239886806,2.3186460339464072,10.0,0.00010196215804018936,0.9995320640979896,0.3,0.0048156678408525794
163.0,0.04562637977937578,110.0,8.0,25.0,0.9890559956689218,0.9789177948330717,0.030369942677145656,0.7513102620774291,0.5698309915259053,3.805802513725757,7.0,0.00011406831640268704,0.10787457013994384,0.4,0.004542875010202684
234.0,0.020381539615749577,259.0,20.0,56.0,0.6905173057818059,0.9077190695625699,0.8789236960083648,0.18022675623773854,0.6796972543949353,8.81715007135841,9.0,0.00011615449311704398,0.17697190706837462,0.5,0.004246207843313591
874.0,0.02132997021025493,172.0,18.0,72.0,0.7211735270970006,0.552475546152214,0.558013348021715,0.42366766471335504,0.32282374302317074,7.534323401679481,5.0,0.00010908420663805132,0.4503282752516725,0.6,0.004241042113398666
459.0,0.09505909689546665,171.0,10.0,98.0,0.9945372502681166,0.9789120254600802,0.24291488036680578,0.006219611769570879,0.9959777993242004,9.332664838615536,3.0,0.00012880545828942983,0.1288438763458879,0.7,0.004474550211901112
888.0,0.02683977965969552,183.0,16.0,38.0,0.8301264955359453,0.947457562000465,0.6297871613840236,0.12527241232318675,0.0340920213722099,9.934600176733504,4.0,0.00024569099868089396,0.37284840971867317,0.8,0.004598344954265882
822.0,0.09855559274122892,245.0,8.0,31.0,0.6035497660537461,0.5864562654146468,0.453624664434981,0.3285808258905476,0.4399807748939444,6.801745315277767,3.0,0.0005609185651685177,0.006704050465647187,0.9,0.00442861799338005
