number,value,datetime_start,datetime_complete,duration,params_alpha,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_min_child_weight,params_min_split_gain,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,params_subsample_freq,state,quantile
10,0.00869382118270017,2024-10-17 22:19:06.302359,2024-10-17 22:19:07.462704,0 days 00:00:01.160345,0.00022230868355424175,0.5190871741293271,0.014573939508897956,14,51,0.31581405188249345,0.1980370092675885,136,284,0.9879414295698219,0.10766351258453777,0.7713745055198041,1,COMPLETE,0.1
11,0.006953336380887169,2024-10-17 22:19:07.462920,2024-10-17 22:19:08.993024,0 days 00:00:01.530104,0.0008093769990761459,0.9682390043472343,0.02287236575692176,9,66,9.29562559105164,0.05829190045668173,326,27,0.025492646642342187,0.2895849581770283,0.681659548673744,3,COMPLETE,0.1
12,0.006646001691622789,2024-10-17 22:19:08.993243,2024-10-17 22:19:12.757126,0 days 00:00:03.763883,0.0016243412461506431,0.6041874754682496,0.05749176050176893,7,45,7.179356059245831,0.21900851005668287,672,127,0.03365357308193418,0.33060923231715345,0.7162864429773905,1,COMPLETE,0.1
13,0.006341655142938818,2024-10-17 22:19:12.757360,2024-10-17 22:19:15.821224,0 days 00:00:03.063864,0.00010952757582360834,0.7851541374739487,0.018987223738189188,11,74,5.338306767735425,0.037483168089667576,260,199,0.6021771187569119,0.3261551987970114,0.7798393808951641,3,COMPLETE,0.1
14,0.0061077186898754,2024-10-17 22:19:15.821457,2024-10-17 22:19:20.298790,0 days 00:00:04.477333,0.00010527603047114506,0.7965531156120285,0.020564854361385228,15,65,5.1670357051586056,0.003064352010313333,267,213,0.6174183950761392,0.2877757385709026,0.7789703961096412,3,COMPLETE,0.1
15,0.006306098036164954,2024-10-17 22:19:20.299010,2024-10-17 22:19:22.976118,0 days 00:00:02.677108,0.00010926567535011668,0.7748414518425636,0.017850783998256157,16,66,5.792167676157863,0.27991859291848714,269,223,0.5669806719757138,0.02471904473438924,0.7849148827380972,3,COMPLETE,0.1
16,0.006208822377434401,2024-10-17 22:19:22.976330,2024-10-17 22:19:27.153387,0 days 00:00:04.177057,0.0002748574773215674,0.7247190462857247,0.01590875240843958,16,61,6.454546069334279,0.27008699238299555,312,236,0.6160569730646767,0.002031894640965537,0.9954016508964822,2,COMPLETE,0.1
17,0.006232652123983395,2024-10-17 22:19:27.153629,2024-10-17 22:19:30.740828,0 days 00:00:03.587199,0.00045662041294558666,0.7198011554550552,0.010595304238339263,16,55,6.725614350729321,0.41191915139986174,383,297,0.631773814609494,0.18965391907086504,0.9973089616174122,1,COMPLETE,0.1
18,0.007166187353206633,2024-10-17 22:19:30.741245,2024-10-17 22:19:35.081805,0 days 00:00:04.340560,0.003371776823837855,0.8328420050923253,0.014326378926301188,16,56,3.7205269080050547,0.6687227263093739,606,245,0.4447505175849411,0.002972240021307952,0.9140761855099484,2,COMPLETE,0.1
19,0.00598496515540405,2024-10-17 22:19:35.082045,2024-10-17 22:19:38.748421,0 days 00:00:03.666376,0.00035355968623439535,0.7004560635814463,0.014659544393176462,20,81,8.266580827488227,0.16541511507378318,236,166,0.20795754806775446,0.19658215390796574,0.9670006139733388,4,COMPLETE,0.1
